Back to Index,Seniority,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
Sep-15,Senior,DFE-1032,N/D,SCS1,Deputy Director,"Test Operations Deputy Director in the Standards and Testing Agency. Responsible for delivery of assessments and testing in England, under statutory instruments, on behalf of the Secretary of State for Education. Undertakes operational delivery of national curriculum tests and assessments; supports process of teacher assessment moderation; supports schools and other stakeholders. The Division produces guidance and exemplification materials for Early Years Foundation Stage Profile, Key Stage 1 and Key Stage 2 English writing teacher assessment and has a statutory function in respect of maladministration. The Test Operations division are responsible for general qualifications logistics, provided to exam centres and examiner.",Department for Education,Standards and Testing Agency,Standards and Testing Agency,0370 000 2288,N/D,DFE-1087,1915236.115,1,0,0,Operational Delivery,,1
Sep-15,Senior,DFE-1258,N/D,SCS1,Deputy Director,"Deputy Director, IT Delivery: Accountable for the quality, timeliness and value of IT project and programme delivery within the Department for Education.",Department for Education,Department For Education,IT Group,0370 000 2288,N/D,DFE-1020,2983627.895,1,0,0,Information Technology,,1
Sep-15,Senior,DFE-1259,Hardip Begol,SCS2,Director,Responsible for leading the Department’s programme to counter extremism in education settings and ensure only suitable people run schools.,Department for Education,Department For Education,Due Diligence and Counter Extremism Group,0370 000 2288,N/D,DFE-1084,129534.02,1,85000,89999,Policy,,1
Sep-15,Senior,DFE-1220,Iain Bell,SCS2,Director,"Leads Teachers and Teaching, which is responsible for policy on the teaching profession, including training, standards, regulation, leadership, pay, pensions and industrial relations.",Department for Education,Department For Education,Systems and Accountability,0370 000 2288,N/D,DFE-1003,932290.16,1,85000,89999,Policy,,1
Sep-15,Senior,DFE-1017,Marcus Bell,SCS2,Director,"Leads Teachers and Teaching, which is responsible for policy on the teaching profession, including training, standards, regulation, leadership, pay, pensions and industrial relations.",Department for Education,Department For Education,Teachers and Teaching Group,0370 000 2288,N/D,DFE-1003,295856,1,95000,99999,Policy,,1
Sep-15,Senior,DFE-1085,N/D,SCS1,Deputy Director,"Head of the Ministerial and Public Communications Division, Departmental Strategy. The Division supports Ministers by producing replies to MPs’ letters and Parliamentary Questions. Responsible for responding, on behalf of Ministers, to correspondence and telephone enquiries received from education and children’s service professionals; and parents and members of the public. Casework arising from complaints from parents and others about schools. The Department’s content on GOV.UK and channel shift to digital.",Department for Education,Department For Education,Strategy Performance and Private Office Group,0370 000 2288,N/D,DFE-1002,2970483.76,0.94,0,0,Communications and Marketing,,1
Sep-15,Senior,DFE-1239,Jennifer Bexon-Smith,SCS2,Director,"Regional Schools Commissioner for the West Midlands responsible for tackling educational underperformance and inadequate governance in open academies; approving new academy provision; managing the regional sponsor market for academies; and providing advice and taking decisions in relation to free schools, UTCs and studio schools.",Department for Education,Department For Education,Regional Schools Commissioners Group,0370 000 2288,N/D,DFE-1213,223011.91,1,140000,144999,Operational Delivery,,1
Sep-15,Senior,DFE-1275,N/D,SCS1,Deputy Director,"Responsible for Special Educational Needs and Disability (SEND) policy and, in particular, the implementation of the reforms to the SEND system set out in the Children and Families Act, 2014.",Department for Education,Department For Education,"Childcare, Special Needs and Children’s Services Strategy",0370 000 2288,N/D,DFE-1006,406856.29,0.76,0,0,Policy,,1
Sep-15,Senior,DFE-1260,N/D,SCS1,Deputy Director,"Deputy Director for Safeguarding and Child Protection. Responsibilities include developing policy on the child protection system from early help through children in need and those on child protection plans. This work links to other parts of children’s services policy - children in care, adoption and special educational needs and extends across the entire department where we challenge and advise on school safeguarding policy, extremism, LA interventions and SEN reform. The Unit is also involved with the cross government response to Rotherham and child sexual exploitation.",Department for Education,Department For Education,"Childcare, Special Needs and Children’s Services Strategy",0370 000 2288,N/D,DFE-1016,1368402.64,1,0,0,Policy,,1
Sep-15,Senior,DFE-1083,N/D,SCS1,Deputy Director,Responsibility for managing the market for Initial Teacher Training (ITT). This involves strategic oversight of the budget to fund ITT training and provide financial support for trainees. Responsible for working with Ofsted on regulating the quality of ITT and on the accreditation of ITT providers and for the collection of a wide range of trainee and labour market data to support the work of the Agency.,Department for Education,National College,National College for School Leadership,0370 000 2288,N/D,DFE-1021,1727780.83,1,0,0,Policy,,1
Sep-15,Senior,DFE-1035,N/D,SCS1,Deputy Director,"Deputy Director Accountability and Flexible Resource Division, Education Standards Directorate. Responsible for policy on school and college accountability including inspection and managing the Department’s relationship with Ofsted. I am also responsible for the ESD Flexible Resource Unit which deploys high calibre staff to priority projects across the Directorate.",Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications",0370 000 2288,N/D,DFE-1005,1430148.405,0.81,0,0,Policy,,1
Sep-15,Senior,DFE-1087,Claire Burton,SCS2,Director,Chief Executive and Accounting Office for the Standards and Testing Agency: responsible for the development and delivery of statutory testing and assessment in England,Department for Education,Standards and Testing Agency,Standards and Testing Agency,0370 000 2288,N/D,DFE-1003,312548.5,1,85000,89999,Operational Delivery,,1
Sep-15,Senior,DFE-1245,David Carter,SCS2,Director,"Regional Schools Commissioner for the West Midlands responsible for tackling educational underperformance and inadequate governance in open academies; approving new academy provision; managing the regional sponsor market for academies; and providing advice and taking decisions in relation to free schools, UTCs and studio schools.",Department for Education,Department For Education,Regional Schools Commissioners Group,0370 000 2288,N/D,DFE-1213,288352.3,1,140000,144999,Operational Delivery,,1
Sep-15,Senior,DFE-1053,N/D,SCS1,Deputy Director,"Heads the Joint Area Review Delivery Unit (JARDU) with the purpose of enabling, supporting and delivering the government’s programme of area reviews across England to  secure high quality post 16 education and training, responsive to local need, through a smaller and financially stable further education sector. This cross-departmental/agency team works across EFA, Sfa, Dfe and BIS on programme delivery. Together we drive pace, and particularly support the FE and Sixth Form College Commissioner, as well as Regional Schools Commissioners, colleges, other providers, LEPs, local authorities, including devolved administrations through combined authorities, so that the programme can be effectively delivered.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1137,197064,1,0,0,Operational Delivery,,1
Sep-15,Senior,DFE-1214,Juliet Chua,SCS2,Director,"Director of the Post-16 and Disadvantage Group which is composed of four divisions responsible for policy in the following areas: Vocational Education and 16-19 Strategy; School Food and Participation; Behaviour, Attendance and Disadvantage and the Apprenticeship Unit, a joint division which sits across DfE and BIS.",Department for Education,Department For Education,Post 16 and Disadvantage,0370 000 2288,N/D,DFE-1003,722078.02,0.82,105000,109999,Policy,,1
Sep-15,Senior,DFE-1278,N/D,SCS1,Deputy Director,"Head of the Government’s Child Poverty Unit.  The role of the unit is to support Ministers in delivering on their commitment to eliminate child poverty in the UK, carrying out their obligations under the Child Poverty Act 2010, and putting in place a new approach to child poverty focused on tackling its root causes and improving the life chances of disadvantaged children.  The unit is jointly sponsored by the Department for Work and Pensions, the Department for Education and HM Treasury.",Department for Education,Department For Education,"Childcare, Special Needs and Children’s Services Strategy",0370 000 2288,N/D,DFE-1019,512083.37,1,0,0,Policy,,1
Sep-15,Senior,DFE-1253,N/D,SCS1,Deputy Director,"Responsible for the strategy and finances of the Government Equalities Office, i.e. establishing its priorities and operating model, support development and delivery of its core programmes, and engaging other government departments in the delivery of the government’s equalities agenda.",Department for Education,Department For Education,Strategy Performance and Private Office Group,0370 000 2288,N/D,DFE-1251,0,1,0,0,Business Unit Support,,1
Sep-15,Senior,DFE-1025,N/D,SCS1,Deputy Director,"Deputy Director, Initial Teacher Training (ITT), National College for Teaching & Leadership (NCTL).",Department for Education,National College,National College for School Leadership,0370 000 2288,N/D,DFE-1021,1240143.75,1,0,0,Policy,,1
Sep-15,Senior,DFE-1072,N/D,SCS1,Deputy Director,"Deputy Director for the Academy Operations (North) Division within the Education Funding Agency. Responsible for open academies and free schools in the North West, North East and Yorkshire & the Humber.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1133,1020789.72,1,0,0,Operational Delivery,,1
Sep-15,Senior,DFE-1238,Tim Coulson,SCS2,Director,Regional Schools Commissioner for the East of England North East London. He carries out Ministers’ responsibilities towards the Academies and Free Schools system as their numbers have reached a point where it is no longer sensible or practical for Ministers to take all decisions from the centre.,Department for Education,Department For Education,Regional Schools Commissioners Group,0370 000 2288,N/D,DFE-1213,120750.9,1,130000,134999,Operational Delivery,,1
Sep-15,Senior,DFE-1099,N/D,SCS1,Deputy Director,"The EFA Young People's Funding Allocation and Student Support Division includes: Section 96 Qualification approvals; the design, development, calculation, and allocation of all formula funding for 16-19 participation and for Learner Support (Bursaries, Free Meals, Care to Learn, Residential Bursaries, Dance and Drama Awards). Allocations are made to all providers delivering to young people aged 16-19, and 16-25 for those with learning difficulties and disabilities, ( colleges, independent specialist colleges, maintained schools, Academies, UTCs, Studio Schools, Free schools, Maths Schools, voluntary and charitable providers. For voluntary and charitable providers this includes reconciliation for over and under-delivery.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1137,1912347.84,1,0,0,Operational Delivery,,1
Sep-15,Senior,DFE-1262,N/D,SCS1,Deputy Director,"EFA Academies Southern Territory – responsible for casework relating to open academies and free schools in the Southern Territory, including managing deficit cases, admission appeals, complaints and requests for significant changes. Also support for new institutions, particularly free schools, UTCs and studio schools.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1124,1729858.83,0.82,0,0,Operational Delivery,,1
Sep-15,Senior,DFE-1237,N/D,SCS1,Deputy Director,"Head of Procurement, Deputy Director, Commercial Division. Responsible for ensuring that the commercial and procurement activity of the Department for Education and its Executive Agencies supports Departmental priorities and delivers outstanding value for money. Also responsible for developing commercial solutions for schools.",Department for Education,Department For Education,Finance & Commercial Group,0370 000 2288,N/D,DFE-1009,1831889.355,1,0,0,Procurement,,1
Sep-15,Senior,DFE-1150,N/D,SCS1,Deputy Director,Head of International Education Division. Main responsibilities include: ensuring that DfE policy is rooted in international evidence; representing DfE's interests in the European Union; delivering DfE' contribution to the government's wider international objectives including bilateral relations with key countries and our interests in international organisations such as the OECD.,Department for Education,Department For Education,Strategic Analysis Research and Policy Impact Group,0370 000 2288,N/D,DFE-1215,600122.38,1,0,0,Policy,,1
Sep-15,Senior,DFE-1250,N/D,SCS1,Deputy Director,Lead one of three regional delivery divisions in Academies Group. Working closely with three Regional Schools Commissioners to deliver the academies programme. This includes working with schools wanting to convert and brokerage of new sponsored academies; post-approval work to open all academy projects (converters and sponsored); and intervening in under-performing open academies. I also sponsor work to develop and refine our open academy intervention procedures across the other regional divisions.,Department for Education,Department For Education,Academies Group,0370 000 2288,N/D,DFE-1277,2248649.46,1,0,0,Policy,,1
Sep-15,Senior,DFE-1003,Shona Dunn,SCS3,Director General,"The Director General for Education Standards Directorate, has responsibility for: the curriculum, qualification and assessment reforms; new arrangements for school accountability; raising the quality of vocational provision through Apprenticeships and Traineeships; participation; closing the achievement gap; and improving the calibre of our teachers and leaders.",Department for Education,Department For Education,Education Standards Directorate,0370 000 2288,N/D,DFE-1001,1178082.1,1,120000,124999,Policy,,1
Sep-15,Senior,DFE-1124,Anthony Foot,SCS2,Director,"Lead the Education Funding Group in DfE – responsible for strategy and policy on funding for schools and 16-19 providers, and for providing analytical and project support to the DfE Infrastructure and Funding Directorate",Department for Education,Department For Education,Education Funding Group,0370 000 2288,N/D,DFE-1084,267846,1,70000,74999,Policy,,1
Sep-15,Senior,DFE-1123,N/D,SCS1,Deputy Director,Leads the Department’s policy advice on school leadership.,Department for Education,Department For Education,Strategy Performance and Private Office Group,0370 000 2288,N/D,DFE-1191,0,1,0,0,Strategy,,1
Sep-15,Senior,DFE-1267,N/D,SCS1,Deputy Director,"Leads Improving Teacher Quality Division which is responsible for teachers' pay and conditions reform, the policy on teachers' development and development and the review of teacher quality policy.",Department for Education,Department For Education,Post 16 and Disadvantage,0370 000 2288,N/D,DFE-1214,969399.85,1,0,0,Policy,,1
Sep-15,Senior,DFE-1011,Simon Fryer,SCS2,Director,"Leading HR strategy and delivery of HR services to the Department for Education, including Executive Agencies. The HR Director is also responsible for internal communications within the Department.",Department for Education,Department For Education,HR and Change Group,0370 000 2288,N/D,DFE-1263,683165.82,0.84,95000,99999,Human Resources,,1
Sep-15,Senior,DFE-1031,N/D,SCS1,Deputy Director,"Manage the Risk Analysis Division, a team of 65 people who provide assurance that the funds distributed by the Education Funding Agency are used for the purpose that parliament intended.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1020,2470667.77,1,0,0,Operational Delivery,,1
Sep-15,Senior,DFE-1183,N/D,SCS1,Deputy Director,"Head of Funding Policy Unit, with responsibility for policy on funding for the day-to-day running of schools and colleges, 5-19, including the Dedicated Schools Grant (Schools and High Needs); 16-19 funding, the Pupil Premium; the Education Services Grant and funding for Academies; and for supporting schools and colleges to spend their funding efficiently.",Department for Education,Department For Education,Education Funding Group,0370 000 2288,N/D,DFE-1124,769352.6,1,0,0,Policy,,1
Sep-15,Senior,DFE-1135,Mike Green,SCS2,Director,"The Director of Capital is part of the EFA’s Senior Team and head of the Capital Directorate which is one of four EFA Directorates. The Director oversees the Directors of the Planning & Funding, Programme Delivery and Efficiency Divisions. The Director ensures the successful delivery of the EFA remit for Capital Programmes and supports the Chief Executive in making the EFA an outstandingly successful vehicle for education transformation by ensuring the effective procurement of educational institutions, in line with the Secretary of State’s vision.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1136,750875,1,130000,134999,Operational Delivery,,1
Sep-15,Senior,DFE-1213,Frank Green,SCS2,Director,"Schools Commissioner promoting the benefits of the academies and free schools programme among school leaders, local authorities, parent groups and community organisations leading communications between DfE and the education sector initiating brokerage of academy arrangements between those schools that would benefit most from an academy solution and established sponsors with a good track record of performance improvement encouraging and helping nurture potential sponsors from schools and community sectors influencing school-to-school support and working closely with ministers to shape the future development of the academies and free schools programme line managing the 8 regional schools commissioners (RSCs).",Department for Education,Department For Education,Regional Schools Commissioners Group,0370 000 2288,N/D,DFE-1084,1210102.3,0.8,140000,144999,Policy,,1
Sep-15,Senior,DFE-1264,N/D,SCS1,Deputy Director,Deputy Director for Free Schools Capital (South). We have responsibility for identifying sites and providing buildings for free schools in the south of England.,Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1192,272876.8,0.58,0,0,Operational Delivery,,1
Sep-15,Senior,DFE-1042,N/D,SCS1,Deputy Director,"Deputy Director role is to establish and lead a project team to work with HMT to design, develop and implement a new financial reporting framework for the department that will deliver: • transparent and accountable reporting of academy expenditure; • improved in-year data forecasting and management information, to support better financial management; • deliver more timely reporting.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1020,210381.5,1,0,0,Finance,,1
Sep-15,Senior,DFE-1006,Ann Gross,SCS2,Director,"With two other Directors, jointly leading the Children’s Services Policy Family which supports Ministers in developing and implementing policies relating to children’s issues. Responsible within the Policy Family for policy on special educational needs and disabilities, DfE’s interests in children’s mental health, children in care and adoption.",Department for Education,Department For Education,"Childcare, Special Needs and Children’s Services Strategy",0370 000 2288,N/D,DFE-1002,725261.625,1,90000,94999,Policy,,1
Sep-15,Senior,DFE-1265,N/D,SCS1,Deputy Director,"Deputy Directors, Early Years Entitlements and Affordability (jobshare). Responsible for delivering the existing entitlement to 15 hours of free early learning for disadvantaged two year olds and all three and four year olds; and for doubling this entitlement to 30 hours of free childcare for three and four year olds from working families.",Department for Education,Department For Education,"Childcare, Special Needs and Children’s Services Strategy",0370 000 2288,N/D,DFE-1019,87472.5,0.71,0,0,Policy,,1
Sep-15,Senior,DFE-1266,N/D,SCS1,Deputy Director,"Provide effective financial advice and guidance across the department to improve financial management and control; provide assurance that the DfE adheres to accounting standards and remains within its HMT financial control totals and enable meaningful financial engagement, debate and confident decision-making at the top of the organisation.",Department for Education,Department For Education,Finance & Commercial Group,0370 000 2288,N/D,DFE-1009,1539674.49,1,0,0,Finance,,1
Sep-15,Senior,DFE-1225,N/D,SCS1,Deputy Director,"Lead the Transactions & Procurement team in EFA Capital which consists of specialists providing commercial advice and support in the following areas: ŸConstruction framework procurement and management; ŸGeneral commercial and procurement support to EFA Capital activities; ŸLegal property support for programme delivery particularly in respect of Free Schools, UTCs, Studio Schools and the PSBP Capital programmes; ŸLegal construction programme and project delivery advice and support for EFA capital programmes.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1135,1500864.445,1,0,0,Operational Delivery,,1
Sep-15,Senior,DFE-1022,N/D,SCS1,Deputy Director,"Deputy Director, Information Systems and Professionalism Division and Head of Finance Profession. Leads on DfE’s Transactional Shared Services and corporate MI systems which involves managing the current operational arrangements and also a programme to drive out strategic improvement. Also lead on the publication of finance, procurement and workforce MI. As Head of Finance Profession supports all qualified and trainee finance staff in DfE to drive up capability.",Department for Education,Department For Education,Finance & Commercial Group,0370 000 2288,N/D,DFE-1009,1324440.665,1,0,0,Business Unit Support,,1
Sep-15,Senior,DFE-1244,Dominic Herrington,SCS2,Director,"Regional Schools Commissioner for the South East and South London: responsible for tackling educational underperformance and inadequate governance in open academies; approving new academy provision; managing the regional sponsor market for academies; and providing advice and taking decisions in relation to free schools, UTCs and studio schools.",Department for Education,Department For Education,Regional Schools Commissioners Group,0370 000 2288,N/D,DFE-1084,308874.5,1,125000,129999,Operational Delivery,,1
Sep-15,Senior,DFE-1111,N/D,SCS1,Deputy Director,"Leading the Education Data Division on the collection, quality assurance, management and dissemination of school and local authority data and publishing Schools Performance Tables that inform policy development, and drive accountability and parental choice. The Division also provides a range of data to DfE colleagues for funding allocations. Leading a new data transformation programme to modernise and rationalise the way DfE will collect, manage and disseminate data from schools and local authorities in the future. As Head of Profession for Statistics deals with statistical issues as they arise and ensure compliance with Code of Practice for Official Statistics.",Department for Education,Department For Education,Systems and Accountability,0370 000 2288,N/D,DFE-1220,3288452.775,1,0,0,Policy,,1
Sep-15,Senior,DFE-1081,N/D,SCS1,Deputy Director,"Deputy Director for Free Schools (North), UTCs and Studio Schools Capital. Responsible for ensuring the successful and timely procurement and transformation of suitable free school sites in the north and UTCs/Studio Schools across the country. Also DfE Head of Site for St Paul’s Place, Sheffield.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1192,1245607.075,1,0,0,Operational Delivery,,1
Sep-15,Senior,DFE-1033,N/D,SCS1,Deputy Director,"Head of Academies Operations and Strategy Division. Supporting the effective delivery of the Academies programme, working with the 8 Regional Schools Commissioners, the Schools Commissioner and the rest of Academies Group. Helping ensure a sufficient number of high quality academy sponsors in the right geographical areas. Managing the specialist contractors who support schools becoming academies. Co-ordinating processes to secure the approval of academy projects. Managing specific academy related budgets. Collecting and analysing academy programme management data and delivering priority projects across the Academies Group.",Department for Education,Department For Education,Academies Group,0370 000 2288,N/D,DFE-1277,1984540.96,1,0,0,Policy,,1
Sep-15,Senior,DFE-1086,Elizabeth Jackson,SCS2,Director,"Director of System Reform Group, which aims to bring more quality, diversity and choice to the school system. The Group covers policy on academies, admissions, school place planning, school governance and the regulation of independent schools.",Department for Education,Department For Education,System Reform Group,0370 000 2288,N/D,DFE-1084,277373,1,85000,89999,Policy,,1
Sep-15,Senior,DFE-1064,N/D,SCS1,Deputy Director,"Head of EFA Young People’s service delivery team covering Southern England The Education Funding Agency has a key role to challenge and intervene if necessary where the providers we fund are not delivering high quality provision or financially failing. Covers all 16-19 providers - sixth form colleges, FE colleges and commercial and charitable providers - in London, South East and East of England (working closely with the Skills Funding Agency); but not including 16-19 academies or school sixth forms.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1137,773184.245,1,0,0,Operational Delivery,,1
Sep-15,Senior,DFE-1170,N/D,SCS1,Deputy Director,"Deputy Director for School Organisation and Admissions Division (SOAD). SOAD is responsible for three areas of schools policy: Faith, including relationships with those who run faith schools; School Organisation, which covers issues such as the establishment, closure and expansion of state-funded schools; and, Admissions, where the Division's work is to ensure that all children are admitted fairly to state funded schools. The latter incorporates several policy areas including home to school transport, school uniform and school charging.",Department for Education,Department For Education,System Reform Group,0370 000 2288,N/D,DFE-1086,1378366.31,1,0,0,Policy,,1
Sep-15,Senior,DFE-1040,N/D,SCS1,Deputy Director,"Head of teacher quality and leadership division, responsible for policy on teacher professionalism, development and leadership.",Department for Education,Department For Education,Teachers and Teaching Group,0370 000 2288,N/D,DFE-1017,282238.005,1,0,0,Policy,,1
Sep-15,Senior,DFE-1009,Simon Judge,SCS2,Director,"Finance Director for the Department. The central finance, estates and commercial teams report to this role, which also takes the lead at board level for information risk issues.",Department for Education,Department For Education,Finance & Commercial Group,0370 000 2288,N/D,DFE-1263,572953,0.5,95000,99999,Finance,,1
Sep-15,Senior,DFE-1192,N/D,SCS1,Deputy Director,"The Divisional Director of Free Schools Capital ensures that sites are secured and functional buildings constructed for all free schools approved to open by the Department.  They are responsible for the Department’s largest capital delivery programme with a multi-billion pound budget.  They work closely with the Director of Free Schools Group and also have an important role in managing and developing relationships on funding and delivery matters with senior officials in DfE, HMT and other Government Departments as necessary and engage with a range of external stakeholders including local authorities and school trusts.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1135,1283508.15,0.5,0,0,Operational Delivery,,1
Sep-15,Senior,DFE-1106,N/D,SCS1,Deputy Director,"The Head of Capital Funding ensures that there are comprehensive, efficient and effective systems and processes to support the allocation and payment of capital funding for local authorities, academies and colleges. This involves: • development of strategy, systems and processes for the management of capital funding from allocation to payment • managing and developing relationships on funding matters with senior officials in DfE, HMT and other Government Departments • engaging with external stakeholders including local authorities, dioceses and school trusts on funding matters.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1135,655507.94,1,0,0,Operational Delivery,,1
Sep-15,Senior,DFE-1172,N/D,SCS1,Deputy Director,"Deputy Director for Qualifications Division. Responsible for GCSEs and A levels, including the current reform programme, and relationships with Ofqual. Also have a role on communications and implementation across accountability, curriculum and qualifications.",Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications",0370 000 2288,N/D,DFE-1005,1106654.83,1,0,0,Policy,,1
Sep-15,Senior,DFE-1005,Julia Kinniburgh,SCS2,Director,"Director for the Assessment, Curriculum, Qualifications and Accountability policy family. (Jobshare).",Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications",0370 000 2288,N/D,DFE-1003,263221.5,0.5,85000,89999,Policy,,1
Sep-15,Senior,DFE-1002,Paul Kissack,SCS3,Director General,"Director-General for Children’s Services and Departmental Strategy Directorate and Head of Policy Profession. Responsible for children’s services policy including adoption, early years, the SEN reforms, local authority interventions, social work, children in care and child protection. Also responsible for research, analysis, communications, support to Ministers, international interests, broader strategic policy questions and the government equalities office.",Department for Education,Department For Education,Children Services and Departmental Strategy,0370 000 2288,N/D,DFE-1001,3122591.88,1,125000,129999,Business Unit Support,,1
Sep-15,Senior,DFE-1208,N/D,SCS1,Deputy Director,"Deputy Director - Education Standards Evidence and Dissemination Division (ESEDD). ESEDD is a multidisciplinary analytical division (meaning we have statisticians, social researchers, economists and operational researchers). We provide analysis and evidence to support the development, monitoring and evaluation of a range of education standards policies. We publish a wide range of statistics (such as attainment by pupil characteristics, absence and exclusions, participation in education and training, school workforce), social research and evaluation reports.",Department for Education,Department For Education,Systems and Accountability,0370 000 2288,N/D,DFE-1220,1963902.215,1,0,0,Policy,,1
