Back to Index,Senion/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Column1,Professional/Occupational Group,Notes,Valid?
Mar-14,Senior,21007,"James,Ballingall",SCS1A,IUK Comm Specialist,Responsible for providing assurance in major projects,Her Majesty's Treasury,HM Treasury,Assurance & International,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24038,0,1,185000,189999,,Policy,Not graded so allocated SCS1A,1
Mar-14,Senior,23965,N/D,SCS1,"Deputy Director, Head of Government Finance Profession",Responsible for Government Internal Audit and Assurance Policy,Her Majesty's Treasury,HM Treasury,Treasury Group Internal Audit,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24024,265375,0.8,N/A,,,Policy,Part Time 0.8 FTE,1
Mar-14,Senior,24350,N/D,SCS1,"Deputy Director, Tax Administration, Spending and Reform","Responsible for Tax administration,HMRC Spending and tax avoidance/compliance",Her Majesty's Treasury,HM Treasury,"Tax Administration, Spending and Reform",020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24030,336329,0.8,N/A,,,Policy,Part Time 0.8 FTE,1
Mar-14,Senior,25142,N/D,SCS1,"Deputy Director, Debt and Reserves Management",Responsible for Debt Reserves Management,Her Majesty's Treasury,HM Treasury,Debt and Reserves Management,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24059,339744,1,N/A,,,Policy,,1
Mar-14,Senior,24051,N/D,SCS1,"Deputy Director, Health",Responsible for oversight of health,Her Majesty's Treasury,HM Treasury,Health,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24029,363561,0.92,N/A,,,Policy,Part Time 0.9 FTE,1
Mar-14,Senior,24884,N/D,SCS1,"Deputy Director, Housing Planning and Cities",Respobnsible for Housing Planning and Cities,Her Majesty's Treasury,HM Treasury,Housing Planning and Cities,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24029,373200,1,N/A,,,Policy,,1
Mar-14,Senior,25139,N/D,SCS1,"Deputy Director, Government Economic and Social Research",Responsible for Government Economic and Social Research,Her Majesty's Treasury,HM Treasury,Government Economic & Social Research Unit,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24041,380844,1,N/A,,,Policy,,1
Mar-14,Senior,24774,N/D,SCS1,"Deputy Director, Education, Children, and Culture","Responsible for Education, Children,and Culture",Her Majesty's Treasury,HM Treasury,"Education, Children and Culture",020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24029,383187,0.75,N/A,,,Policy,Part Time 0.8 FTE,1
Mar-14,Senior,24010,N/D,SCS1,"Deputy Director, Economics of the UK",Responsible for Economics of the Union and Model Unit,Her Majesty's Treasury,HM Treasury,Economics of the UK,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24041,409126,1,N/A,,,Economics,,1
Mar-14,Senior,23953,N/D,SCS1,"Deputy Director, Transport Regulation and Competition",Responsible for Transport Regulation and Competition,Her Majesty's Treasury,HM Treasury,Transport Regulation and Competition,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24028,411112,1,N/A,,,Economics,,1
Mar-14,Senior,23976,N/D,SCS1,"Deputy Director, Treasury Officer of Accounts",Responsible for Treasury Officer of Accounts,Her Majesty's Treasury,HM Treasury,Treasury Officer of Accounts Team,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24031,428656,1,N/A,,,Policy,,1
Mar-14,Senior,24549,N/D,SCS1,"Deputy Director, Macroeconomic Coordination & Strategy",Responsible for Macroeconomic Coordination & Strategy,Her Majesty's Treasury,HM Treasury,Macroeconomic Coordination & Strategy,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24041,428725,1,N/A,,,Economics,,1
Mar-14,Senior,25134,N/D,SCS1,"Deputy Director, Infrastructure UK Policy and Strategy",Responsible for Infrastructure UK Policy and Strategy,Her Majesty's Treasury,HM Treasury,Infrastructure Policy and Strategy,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24038,429765,1,N/A,,,Policy,,1
Mar-14,Senior,24322,N/D,SCS1,"Deputy Director, Head of Government Finance Profession",Responsible for Government Finance Profession,Her Majesty's Treasury,HM Treasury,Office of Head of Government Finance Profession,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24024,438403,0.2,N/A,,,Policy,Part Time 0.2 FTE,1
Mar-14,Senior,23998,N/D,SCS1,"Deputy Director, Banking and Financial Services Analysis",Responsible for Banking and Financial Services Analysis,Her Majesty's Treasury,HM Treasury,Banking & Financial Sector Analysis,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24040,443549,1,N/A,,,Policy,,1
Mar-14,Senior,24000,N/D,SCS1,"Deputy Director, Pensions and Savings Team","Responsible for policy and strategy on state pensions, other support for pensioners, savings and private pensions",Her Majesty's Treasury,HM Treasury,Pensions and Savings Team,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24030,490038,1,N/A,,,Policy,,1
Mar-14,Senior,25259,N/D,SCS1,"Deputy Director, Labour Markets and Distributional Analysis",Responsible for Labour Markets and Distributional Analysis,Her Majesty's Treasury,HM Treasury,Labour Markets and Distributional Analysis,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24030,499546,1,N/A,,,Policy,,1
Mar-14,Senior,23954,N/D,SCS1,"Deputy Director, Corporate Finance, Business, Innovation and Skills","Responsible for Corporate Finance, Business, Innovation and Skills",Her Majesty's Treasury,HM Treasury,"Corporate Finance, Business, Innovation & Skills",020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24028,503639,1,N/A,,,Policy,,1
Mar-14,Senior,24056,N/D,SCS1,"Deputy Director, Home and Legal",Responsible for Home and Legal,Her Majesty's Treasury,HM Treasury,Home and Legal,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24031,503910,1,N/A,,,Policy,,1
Mar-14,Senior,25499,N/D,SCS1,"Deputy Director, Banking Compensation and Legacy Assets",Responsible for Banking Compensation and Legacy Assets,Her Majesty's Treasury,HM Treasury,Banking Compensation and Legacy Assets,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24033,506139,1,N/A,,,Policy,,1
Mar-14,Senior,25070,N/D,SCS1,"Deputy Director, Energy, Enviroment and Agriculture","Responsible for Energy, Enviroment and Agriculture",Her Majesty's Treasury,HM Treasury,"Energy, Environment and Agriculture",020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24028,517488,1,N/A,,,Policy,,1
Mar-14,Senior,24016,N/D,SCS1,"Deputy Director, Growth and Productivity",Responsible for Growth and Productivity,Her Majesty's Treasury,HM Treasury,Growth and Productivity,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24028,531114,1,N/A,,,Policy,,1
Mar-14,Senior,24253,N/D,SCS1,"Deputy Director, Enterprise and Property Tax",Responsible for policy on property taxes and tax measures to support investment in and by business,Her Majesty's Treasury,HM Treasury,Enterprise and Property Tax,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24027,534456,0.8,N/A,,,Policy,Part Time 0.8 FTE,1
Mar-14,Senior,23989,N/D,SCS1,"Deputy Director, EU Institutions and Policy","Respobsible for co-ordination of EU policy, economic reform and governance",Her Majesty's Treasury,HM Treasury,European Institutions and Policy,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24032,536096,1,N/A,,,Policy,,1
Mar-14,Senior,24011,N/D,SCS1,"Deputy Director, Financial Services Strategy",Responsible for Financial Services Strategy,Her Majesty's Treasury,HM Treasury,Financial Services Strategy,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24040,545725,1,N/A,,,Policy,,1
Mar-14,Senior,24655,N/D,SCS1,"Deputy Director, International Institutions and Policy","Responsible for UK's approach to international institutions on economic and finance policy,",Her Majesty's Treasury,HM Treasury,International Institutions and Policy,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24058,547735,1,N/A,,,Economics,,1
Mar-14,Senior,23957,N/D,SCS1,"Deputy Director, Economic Assessment",Responsible for ensuring the Economics Group supports policy advice and development across HMT,Her Majesty's Treasury,HM Treasury,Economic Assessment,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24041,563096,1,N/A,,,Economics,,1
Mar-14,Senior,23966,N/D,SCS1,"Deputy Director, Corporate Tax",Responsible for Policy on Corporate and Financial Sector Taxation,Her Majesty's Treasury,HM Treasury,Corporate Taxation,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24027,584535,1,N/A,,,Policy,,1
Mar-14,Senior,23967,N/D,SCS1,"Deputy Director, Environment and Transport Tax",Responsible Environment and Transport Tax,Her Majesty's Treasury,HM Treasury,Environment and Transport Tax,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24027,598387,1,N/A,,,Policy,,1
Mar-14,Senior,23960,N/D,SCS1,"Deputy Director, Workforce Pay and Pensions",Responsible for Workforce Pay and Pensions,Her Majesty's Treasury,HM Treasury,Workforce Pay and Pensions Team,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24024,601193,1,N/A,,,Policy,,1
Mar-14,Senior,24629,N/D,SCS1,"Deputy Director, EU Financing",Responsible for all aspects of EU financing,Her Majesty's Treasury,HM Treasury,European Union Finances,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24032,614827,0.91,N/A,,,Policy,Part Time 0.9 FTE,1
Mar-14,Senior,24744,N/D,SCS1,"Deputy Director, Competition, Markets, and Regulation","Responsible for Competition, Markets, and Regulation",Her Majesty's Treasury,HM Treasury,"Competition, Markets and Regulation",020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24028,621791,0.7,N/A,,,Policy,Part Time 0.7 FTE,1
Mar-14,Senior,25393,N/D,SCS1,Deputy Director. Resilience and Resolution,Responsible for resilience and Resolution,Her Majesty's Treasury,HM Treasury,Resilience and Resolution,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24033,629475,1,N/A,,,Policy,,1
Mar-14,Senior,23999,N/D,SCS1,"Deputy Director, Securities and Markets",Responsible for Securties and Markets,Her Majesty's Treasury,HM Treasury,Securities & Markets,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24040,641934,1,N/A,,,Policy,,1
Mar-14,Senior,24019,N/D,SCS1,"Deputy Director, General Expenditure Policy",Responsible for expenditure policy,Her Majesty's Treasury,HM Treasury,General Expenditure Policy,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24024,659609,1,N/A,,,Policy,,1
Mar-14,Senior,24582,N/D,SCS1,"Deputy Director, RBS, Lloyds and Analytical",Responsible for Government's interests in RBS and Lloyds; and the Financial Stability Group Analytical Unit.,Her Majesty's Treasury,HM Treasury,"RBS, Lloyds and Analytical",020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24033,711606,1,N/A,,,Policy,,1
Mar-14,Senior,24274,N/D,SCS1,"Deputy Director, Equitable Life and International Tax",Responsible for International Tax,Her Majesty's Treasury,HM Treasury,Equitable Life and International Tax,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24027,713245,1,N/A,,,Policy,,1
Mar-14,Senior,24888,N/D,SCS1,"Deputy Director, Devolved and Local Government",Responsible for Devolved and Local Government,Her Majesty's Treasury,HM Treasury,Devolved and Local Government,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24029,719686,1,N/A,,,Policy,,1
Mar-14,Senior,23968,N/D,SCS1,"Deputy Director Welfare, Spending and Reform","Responsible for welfare policy for working age, DWP and welfare expenditure",Her Majesty's Treasury,HM Treasury,Welfare Spending and Reform,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24030,721775,1,N/A,,,Policy,,1
Mar-14,Senior,23987,N/D,SCS1,"Deputy Director, Fiscal Policy and Statistics",Responsible for Fiscal Policy and Statistics,Her Majesty's Treasury,HM Treasury,Fiscal Policy and Statistics,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24059,766099,1,N/A,,,Policy,,1
Mar-14,Senior,24053,N/D,SCS1,"Deputy Director, Insurance and Savings Team","Responsible for policy on insurance, consumer issues, and the framework for financial regulation",Her Majesty's Treasury,HM Treasury,Insurance and Savings,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24064,775740,1,N/A,,,Policy,,1
Mar-14,Senior,23950,N/D,SCS1,"Deputy Director, Exchequer Funds and Accounts",Responsible for Exchequer Funds and Accounts,Her Majesty's Treasury,HM Treasury,Exchequer Funds and Accounts,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24059,775838,1,N/A,,,Finance,,1
Mar-14,Senior,24638,N/D,SCS1,"Deputy Director, Global Economics",Responsible for analysis and advice on key global economic issues,Her Majesty's Treasury,HM Treasury,Global Economics,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24032,793014,1,N/A,,,Policy,,1
Mar-14,Senior,23995,N/D,SCS1,"Deputy Director, Banking & Credit","Responsible for policy on business and consumer lending, mortgages and funding, retail banking issues, payment services and mutual financial institutions.",Her Majesty's Treasury,HM Treasury,Banking & Credit,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24064,804010,1,N/A,,,Policy,,1
Mar-14,Senior,25062,N/D,SCS1,"Deputy Director, Government Financial Reporting",Responsible for Government Financial reporting,Her Majesty's Treasury,HM Treasury,Government Financial Reporting,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24024,857886,1,N/A,,,Policy,,1
Mar-14,Senior,24017,N/D,SCS1,"Deputy Director, Strategy Planning and Projects","Responsible for Strategy, Planning and Projects",Her Majesty's Treasury,HM Treasury,"Strategy, Planning & Projects",020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24036,868785,1,N/A,,,Policy,,1
Mar-14,Senior,24013,N/D,SCS1,"Deputy Director, Budget & Tax Strategy",Responsible for Budget Tax Strategy,Her Majesty's Treasury,HM Treasury,Budget & Tax Strategy,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24036,881629,1,N/A,,,Policy,,1
Mar-14,Senior,25140,N/D,SCS1,"Deputy Director, Sanctions and Counter Illicit Finance",Responsible for Sanctions and Counter Illicit Finance,Her Majesty's Treasury,HM Treasury,Sanctions and Counter Illicit Finance,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24058,949454,1,N/A,,,Policy,,1
Mar-14,Senior,24054,N/D,SCS1,"Deputy Director, Defence,Diplomacy and Intelligence","Responsible for Defence,Diplomacy and Intelligence",Her Majesty's Treasury,HM Treasury,Defence Diplomacy & Intelligence,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24031,958319,1,N/A,,,Policy,,1
Mar-14,Senior,25203,N/D,SCS1,"Deputy Director, Group Finance",Responsible for Group Finance,Her Majesty's Treasury,HM Treasury,Group Finance,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24025,959740,1,N/A,,,Policy,,1
Mar-14,Senior,24005,N/D,SCS1,"Deputy Director, Communications",Responsible for Communications,Her Majesty's Treasury,HM Treasury,COM Team,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,19678,979970,1,N/A,,,Policy,,1
Mar-14,Senior,24057,N/D,SCS1,"Deputy Director, Personal Taxation",Responsible for Personal Taxation,Her Majesty's Treasury,HM Treasury,Personal Taxation,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24030,964280,1,N/A,,,Policy,,1
Mar-14,Senior,24087,N/D,SCS1,"Deputy Director, VAT and Excise",Responsible for VAT and Excise,Her Majesty's Treasury,HM Treasury,VAT & International Excise,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24027,995270,1,N/A,,,Policy,,1
Mar-14,Senior,24363,N/D,SCS1,"Deputy Director, Group Human Resources","Responsible for providing HR policies and services, including business partnering, recruitment, learning and development, casework, health and wellbeing and diversity.",Her Majesty's Treasury,HM Treasury,Group Human Resources,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24062,1344934,1,N/A,,,Human Resources,,1
Mar-14,Senior,23984,N/D,SCS1,"Deputy Director, Ministerial Support",Responsible for Ministerial Support,Her Majesty's Treasury,HM Treasury,Chancellor's Office,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,19678,1742789,1,N/A,,,Policy,,1
Mar-14,Senior,23964,N/D,SCS1,"Deputy Director, Joint Workspace Solutions","Responsible for Managing Business Processes, Systems, Contracts and Service Delivery, ICT and Estates Infrastructure and Sustainability, Information and Knowledge Management, Business Continuity and Departmental Security",Her Majesty's Treasury,HM Treasury,Joint Workplace solutions,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24025,2663688,1,N/A,,,Information Technology,,1
Mar-14,Senior,23979,N/D,SCS1,"Deputy Director, Europe",Deputy Director Europe,Her Majesty's Treasury,HM Treasury,Director's Office Europe,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24032,0,1,N/A,,,Policy,,1
Mar-14,Senior,25595,N/D,SCS1,"Deputy Director, Markets in Government Services",Responsible for Markets in Government Services,Her Majesty's Treasury,HM Treasury,Markets in Government Services,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24028,0,1,N/A,,,Policy,,1
Mar-14,Senior,23959,N/D,SCS1,Deputy Director Group Finance,"Responsible for management of Treasury Group financial resources, budgeting and controls and finance operations including invoicing and payment of suppliers.",Her Majesty's Treasury,HM Treasury,Group Finance,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24025,0,1,N/A,,,Finance,,1
Mar-14,Senior,24773,N/D,SCS1,"Deputy Director, Education, Children, and Culture","Responsible for Education, Children,and Culture",Her Majesty's Treasury,HM Treasury,"Education, Children and Culture",020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24029,0,0.6,N/A,,,Policy,Part Time 0.6 FTE,1
Mar-14,Senior,24942,N/D,SCS1,"Deputy Director, Government Finance Profession, and Financial Management Review.",Responsible for Government Finance Profession,Her Majesty's Treasury,HM Treasury,Government Finance Profession,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24024,0,1,N/A,,,Policy,,1
Mar-14,Senior,23986,N/D,SCS1,"Deputy Director,Public Services",Responsible for Directors Office Public Services,Her Majesty's Treasury,HM Treasury,Director's Office Public Services,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24029,0,1,N/A,,,Policy,,1
Mar-14,Senior,0,N/D,SCS1,Not in Post,N/A,Her Majesty's Treasury,HM Treasury,N/A,N/A,public.enquiries@hmtreasury.gsi.gov.uk,24030,0,1,N/A,,,Policy,,1
Mar-14,Senior,24015,N/D,SCS1,"Deputy Director, ICT Change Program",Responsible for ICT change program,Her Majesty's Treasury,HM Treasury,Joint Workplace solutions,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,23964,0,1,N/A,,,Information Technology,,1
Mar-14,Senior,24061,N/D,SCS1,"Deputy Director, Pensions and Savings Team","Responsible for policy and strategy on state pensions, other support for pensioners, savings and private pensions",Her Majesty's Treasury,HM Treasury,Pensions and Savings Team,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24030,0,1,N/A,,,Policy,,1
Mar-14,Senior,24983,N/D,SCS1,"Deputy Director, Strategic Projects",Responsible for Strategic Projects,Her Majesty's Treasury,HM Treasury,Group Human Resources,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24062,0,0.6,N/A,,,Policy,Part Time 0.6 FTE,1
