Back to Index,Senior/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Column1,Professional/Occupational Group,Notes,Valid?
Sep-14,Senior,1BF16,N/D,SCS1,"Director, Heathrow Transformation Delivery",To manage the fundemental revision to operational practices and procedures,Home Office,Home Office,Heathrow Transformation,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2BF04,930000,1,0,0,,Operational Delivery,,1
Sep-14,Senior,1BF11,N/D,SCS1,"Programme Director, Border Systems People and Capacity","'Responsible for the portfolio of e-Borders and Border Technology delivery projects, primarily associated with the Warnings Index or Semaphore systems'",Home Office,Home Office,Border Systems,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2BF01,0,1,0,0,,Operational Delivery,,1
Sep-14,Senior,1BF03,N/D,SCS1,Head of Central Region,"'Operational responsibility for border control operations (1350 staff) for all ports and airports in the region (Port of Felixstowe, Harwich International Port, Port of Tilbury, Thamesport, Purfleet, Sheerness, London City Airport, London Luton Airport, Stansted Airport, Norwich Airport, Birmingham International Airport, East Midlands Airport, Cardiff Airport, Cardiff Docks, Swansea Docks, Pembroke Dock, Port of Fishguard, Port of Holyhead) and postal operations at the offices of exchange at Mount Pleasant (Royal Mail) and Coventry International Hub (Parcelforce)'",Home Office,Home Office,Central Region,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2BF03,31660000,1,0,0,,Operational Delivery,,1
Sep-14,Senior,1BF12,N/D,SCS1,"Programme Director, Border Systems Cyclamen","'Director responsible for the development of the Border Automation strategy, and the commissioning of live' technology services for Border Force",Home Office,Home Office,Border Systems,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2BF01,560000,1,0,0,,Operational Delivery,,1
Sep-14,Senior,1BF10,N/D,SCS1,Head of North Region,"'The leadership and management of approximately 1150 staff and other resources across Border Force North Region to deliver key business results. The region covers 16 international airports and 12 major, (and countless smaller) seaports in Northern England, Scotland and Northern Ireland. Additionally the postholder has a national responsibility for the management of the Queens Warehouses (used to store seized goods pending court hearing or destruction)'",Home Office,Home Office,North Region,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2BF03,28020000,1,0,0,,Operational Delivery,,1
Sep-14,Senior,3BF01,Charles Montgomery,SCS3,"Director General, Border Force","'The Head of Border Force is responsible for the delivery of the strategic aims of Border Force; the strengthening of the UK’s security through strong border controls, protecting the country from illegal immigration, organised crime and terrorism, while welcoming and facilitating legitimate travellers and trade. Border Force will protect our border with single immigration and customs checks, tackle smuggling, immigration crime and border tax fraud, and it will implement fast and fair decisions. This will be accomplished by integrating the work of the legacy immigration and customs services, coupled with the use of technology to increase the level of data and intelligence support to frontline operations. We will work collaboratively to achieve this with our partners and develop our special relationships with HMRC, the Police, SOCA and other law enforcement agencies.'",Home Office,Home Office,Border Force,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,4PO01,610000,1,140000,144999,,Operational Delivery,,1
Sep-14,Senior,1BF14,N/D,SCS1,Head of South East and Europe,"The role is to lead and develop more than 1,000 staff working to secure the UK border in South, South East England and Juxtaposed Controls in Paris, Brussels & Norrthern France.  The remit is to create a fully integrated; multi skilled and flexible workforce to ensure that only legitimate people and goods enter the UK.",Home Office,Home Office,South & Europe,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2BF03,37020000,1,0,0,,Operational Delivery,Listed incorrectly as 1BF15 in September 2013 return,1
Sep-14,Senior,1BF01,N/D,SCS1,Head of Heathrow Operations,"'Responsible for Immigration and Customs border operations at London Heathrow, Farnborough, Northolt and RAF Brize Norton. Leadership of approximatley 1,700 staff and management of budget of £83m. Working with stakeholders at Heathrow to ensure the security and integrity of the border at Heathrow whilst maximising Customs revenue and facilitating honest travel and trade. Provide advice to Ministers and senior officials on border control and Customs operations.'",Home Office,Home Office,Heathrow,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2BF03,51580000,1,0,0,,Operational Delivery,,1
Sep-14,Senior,1BF04,N/D,SCS1a,Head of South Region and National Customs and Operations,"'The role is to lead and develop 1,500 staff working to secure the UK border in South, South West England .  The remit is to create a fully integrated; multi skilled and flexible workforce to ensure that only legitimate people and goods enter the UK.'",Home Office,Home Office,South Region,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2BF03,32470000,1,0,0,,Operational Delivery,Post title changed since March 2014,1
Sep-14,Senior,1BF19,N/D,SCS1,Deputy Director Programmes and Planning,"'The Transformation project is an ambitious change programme designed to create a Border Force equipped for the future, with a new intelligence model, a new operating model and the implementation of an automation strategy. The Head of Transformation will be accountable to the Director of Change and ultimately to the Director General Border Force for the design and delivery of the transformation project and will be responsible for ensuring achievement of the goals and outcomes agreed with Ministers'",Home Office,Home Office,Communications,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2BF04,1950000,1,0,0,,Operational Delivery,Post title changed since March 2014,1
Sep-14,Senior,1BF24,N/D,SCS1,Critical Systems and Services,This is a new role.,Home Office,Home Office,Critical Systems and Services,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2BF04,1400000,1,0,0,,Operational Delivery,New post.,1
Sep-14,Senior,1BF22,N/D,SCS1,"Programme Director, Exit Checks",l deliver the business change necessary to facilitate ‘exit checks’ at port for outgoing passengers,Home Office,Home Office,Exit Checks,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2BF04,200000,1,0,0,,Operational Delivery,New post. Filled on a temporary basis.,1
Sep-14,Senior,1BF02,N/D,SCS1,Digital Services at the Border - Service Manager,The objective is to fulfil the role of deputy director in Digital Services at the Border. This entails being the senior embedded operational representative within the project to ensure that the project delivers the operational vision.,Home Office,Home Office,Border System Operations,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2BF03,0,1,0,0,,Operational Delivery,Post title changed since March 2014. Post being filled on a temporary basis. Team salary costs shown under 2BF03.,1
Sep-14,Senior,2BF03,Philip Duffy,SCS2,Chief Operating Officer,'The Chief Operating Officer will be accountable to the Director General Border Force for the overall performance of the Border Force and will be responsible for ensuring achievement of the goals and outcomes agreed with Ministers',Home Office,Home Office,Chief Operating Officer,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,3BF01,290000,1,85000,89999,,Operational Delivery,Team salary costs includes staff reporting to 1BF02,1
Sep-14,Senior,2BF04,Julie Taylor,SCS2,Director of Strategy and Change,"e Director will be responsible for overseeing all the workstreams within the Border Force’s ambitious change programme and for linking this to the wider Home Office corporate, to the related change programmes of the UK Border Agency and the National Crime Agency and to the Border Security Strategy'ons to secure the UK borders. Central services comprises staff working in a wide range of functions including major technology projects (e-borders), operational policy and guidance, resources, business planning, HR & training transformation and transition. The Director will be responsible for overseeing all the workstreams within the Border Force’s ambitious change programme and for linking this to the wider Home Office corporate, to the related change programmes of the UK Border Agency and the National Crime Agency and to the Border Security Strategy'",Home Office,Home Office,Strategy and Change,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,3BF01,0,1,120000,124999,,Operational Delivery,,1
Sep-14,Senior,2BF01,Gary Downes,SCS2,"Portfolio Director, Border Systems",This role entails being the senior embedded operational representative within the Border Systems project to ensure that the project delivers the operational vision.,Home Office,Home Office,Border Systems Director,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,3BF01,2780000,1,0,0,,Operational Delivery,,1
Sep-14,Senior,2BF06,Vacant,SCS2,"Director, Digital Services at the Border",This is a new role.,Home Office,Home Office,Border System Operations,N/A,public.enquiries@homeoffice.gsi.gov.uk,3BF01,0,1,0,0,,Operational Delivery,This is a new post.,1
Sep-14,Senior,1BF23,Vacant,SCS1,Deputy Director Strategy and Policy,This is a new role.,Home Office,Home Office,Strategy and Change,N/A,public.enquiries@homeoffice.gsi.gov.uk,2BF04,0,1,0,0,,Operational Delivery,This is a new post.,1
Sep-14,Senior,2COM01,"Wren, Simon",SCS2,Director of Communications,"Director of Communications / 'Leads the delivery of external and internal communications for the Home Office, working with the Secretary of State, Ministers and senior officials to provide leadership and advice on communications to support policy and departmental objectives. The directorate is responsible for providing specialist services in media handling, strategic communications/marketing, digital, internal communications, insight/research and a correspondence service for the public and MPs.'",Home Office,Home Office,Communication Directorate,0207 035 4848 or Minicom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,4PO01,1690000,1,105000,109999,,Communications,,1
Sep-14,Senior,1COM05,N/D,SCS1,Head of Digital Communications,"Head of Digital Communications / The Digital Communications Unit is responsible for content on the department’s digital channels, the delivery of digital services to government best practice standards and the optimisation and support of those services once they are delivered.",Home Office,Home Office,Digital Communications,0207 035 4848 or Minicom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2COM01,1100000,1,0,0,,Communications,Post being covered on a temporary basis.,1
Sep-14,Senior,1COM03,N/D,SCS1,"Head of Strategic Communications, Marketing and Insight","Head of Strategic Communications, Marketing and Insight / 'Leads on Home Office communication strategy by setting out communication objectives and priorities for the Department and measuring progress against them. The unit also undertakes communications research and analysis. This enables it to design and implement campaigns which help the Department deliver its objectives by changing attitudes and behaviour. '",Home Office,Home Office,"Strategic Communications, Marketing and Insight",0207 035 4848 or Minicom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2COM01,1530000,1,0,0,,Communications,,1
Sep-14,Senior,1COM04,N/D,SCS1,Head of Press and Planning Unit,"Head of Press and Planning Unit / 'Is responsible for all press and media handling activities within the Home Office and acts as the spokesperson for the Home Secretary. Leading the Press Office, the Head of News helps to develop and deliver effective media handling strategies and support to Ministers and policy teams. The Press Office are responsible for both reactive and proactive media handling strategies.'",Home Office,Home Office,Press Office and Planning Unit,0207 035 4848 or Minicom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2COM01,2490000,1,0,0,,Communications,,1
Sep-14,Senior,1COM06,N/D,SCS1,"Head of Internal Communications, Staff Engagement and Professional Development","Head of Internal Communications, Staff Engagement and Professional Development / 'Supports all parts of the Home Office by providing expert communications advice and support to build employee engagement and effective messaging delivered through a wide range of channels and content.'",Home Office,Home Office,Internal Communications,0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,2COM01,1210000,1,0,0,,Communications,,1
Sep-14,Senior,1COM02,Eliminated,SCS1,Head of E-Communications,"'The e-Communications unit helps deliver the department’s objectives by keeping staff, partners and the public informed about the work of the Home Office through our internal and external websites.'",Home Office,Home Office,E-Communications,N/A,public.enquiries@homeoffice.gsi.gov.uk,2COM01,0,1,0,0,,Communications,,1
Sep-14,Senior,1COM01,Eliminated,SCS1,Head of Corporate Communications,"'The Corporate Communication Unit is responsible for all messaging, channels and engagement activity for staff and Home Office employees.'",Home Office,Home Office,Corporate Communications,N/A,public.enquiries@homeoffice.gsi.gov.uk,2COM01,0,1,0,0,,Communications,,1
Sep-14,Senior,3CS01,Mike Parsons,SCS3,Chief Operating Officer,"Corporate Services is critical to ensuring that operational and policy teams in the Home Office have the support they need to deliver the department’s priorities of preventing terrorism, cutting crime and reducing immigration while at the same time contributing to the government’s growth agenda. The group also works closely with other enabler functions, including HR, communications and strategy, to provide a joined-up enabling function to support operational delivery.",Home Office,Home Office,Office of the Chief Operating Officer,0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,4PO01,1450000,1,150000,154999,,Finance,"Team salary costs include staff reporting to 2CS03, 2CS05, 2CS09 and 1CS37",1
Sep-14,Senior,1CS41,N/D,SCS1,Head of Immigration Checking and Enquiry Service,"ICES provides a bulk checking service of all immigration applications against mandated watchlists and other data sources, manages the related biometric (fingerprint and facial image) capture, processing and verification and administers the Biometric Residence Permit regime. It provides status checking services to other govt departments, local authorities and the courts. ICES also manages the commercial relationships with Post Office, DX Secure, DVLA and secure card suppliers.",Home Office,Home Office,Immigration Checking and Enquiry Service,0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,3CS01,6390000,1,0,0,,Information Technology,Post is being covered on a temporary basis,1
Sep-14,Senior,2CS02,David Taylor,SCS2,Commercial Director,"The Commercial Directorate provides strategic commercial and procurement capability across the Home Office Group. It provides strategic commercial advice and capability, whilst also steering common commodity procurement through the GPS. It develops, maintains and manages Group-wide relationships with suppliers, and the wider public sector, and contributes to cross Home Office and Government Commercial and IT goals to introduce significant efficiencies and savings. The Commercial Director leads the procurement profession across the Group.",Home Office,Home Office,Commercial Director,0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,3CS01,0,1,105000,109999,,Procurement,Post is being covered on a temporary basis,1
Sep-14,Senior,1CS06,N/D,SCS1,"Commercial Lead, Communications Capabilities Development (CCD) Programme","Deliver the Commercial Directorate Objectives by providing Leadership of a team that undertakes all Commercial activity (Procurement and Contract Management) through a business partnering approach for The Office of Secuity and Counter Terrorism (OSCT) including Communications Capability Programme(CCD), and the Science and Technology community including the Centre for Applied Science and Technology (CAST) by supporting the successful delivery of their Business Plan through commercial and contractual arrangements that maximise VFM and effective utilisation of with the Private, Public,Voluntary and Not for Profit Sectors whilst ensuring appriorate risk management and controls are in place.",Home Office,Home Office,Commercial SST,0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,2CS02,0,1,0,0,,Procurement,,1
Sep-14,Senior,1CS04,N/D,SCS1,Head of Commercial Delivery,"Providing full life contract management and supplier management for the business. Includes managing Contract Change Notices and variations to existing contrcat including all commercial negotiations. The role ensures that risks are managed, products and services are delivered and value for money is achieved.",Home Office,Home Office,Commercial Delivery,0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,2CS02,0,1,0,0,,Procurement,Change to post title since last return,1
Sep-14,Senior,1CS03,N/D,SCS1,Head of Procurement Delivery,"Supporting end-to-end New Procurement for Business & Programme requirements in alignment withthe Cabinet Office Lean Agenda. The major projects commercial team supports major projects across the Home Office Group, with a particular focus on IT programmes. It develops commercial strategies and supports their implementation, as well as managing major IT contracts, to ensure risk is managed, products and services are delivered and initial and ongoing value for money is achieved.",Home Office,Home Office,Procurement Delivery,0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,2CS02,0,1,0,0,,Procurement,Change to post title since last return,1
Sep-14,Senior,1CS02,N/D,SCS1,Head of Police Commercial,"Facilitates value for money initiatives and programmes across the Police service, including support for business partnering projects that deliver transformational change. The role supports the Police in delivering a collaborative and joined up procurement approach for goods and services including forensic services.",Home Office,Home Office,Commercial - Policing,0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,2CS02,0,1,0,0,,Procurement,Change to post title since last return,1
Sep-14,Senior,1CS05,N/D,SCS1,"Commercial lead, Emergency Services Mobile Communications Programme","Responsible for the procurement of the Emergency Services Network (ESN) and contract management of the current TETRA service provided by Airwave Solutions Limited.  ESMCP is cross-government, multiagency Programme sponsored by the Home Office and will deliver integrated critical voice and broadband data services to all three emergency services and other users throughout Great Britain. Contract award is planned for mid 2015 and users will transition from the current Airwave service from 2016 through to 2020.",Home Office,Home Office,Commercial Emergency Services Mobile Communications Programme,0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,2CS02,0,1,0,0,,Procurement,,1
Sep-14,Senior,1CS07,N/D,SCS1,Head of Commercial Strategy and Performance,"SIP supports commercial and procurement colleagues with strategy, policy, commercial intelligence and governance. The team provides intelligence and performance products (such as spend analysis, savings, market intelligence, supply chain analysis, supplier performance etc) and a pipeline of key procurements.",Home Office,Home Office,"Commercial - Strategy, Intelligence & Performance",0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,2CS02,0,1,0,0,,Procurement,New Post. Post is being filled on a temporary basis.,1
Sep-14,Senior,2CS01,Owen Mapley,SCS2,Director of Finance and Estates,"The Finance and Estates Directorate plays a key role in ensuring that the Home Office gets the most from its resources and provides cost-effective financial advice and support to Ministers, the Department and key stakeholders to enable them to deliver the Home Office objectives. It aims to minimise demands on our businesses, improve financial processes and systems, drive out inefficiencies and support delivery across all areas of the Home Office Group.",Home Office,Home Office,Finance and Estates,0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,3CS01,960000,1,110000,114999,,Finance,,1
Sep-14,Senior,1CS15,N/D,SCS1,Head of Financial Planning Unit,"The Financial Planning Unit is responsible for securing the forward finances of the Home Office, including developing and securing cabinet and parliamentary clearance of the immigration and visa fees package. FPU is also responsible for ensuring those resources are applied to ministerial priorities in a way that maximises value for money. This includes the provision of secretariat services for the department’s Portfolio and Investment Committee (formerly the Group Investment Board); advice on investment decisions and the investment approval process; and management of contract finance across the department.",Home Office,Home Office,Financial Planning Unit,0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,2CS01,1900000,1,0,0,,Finance,Slight change of name since last return,1
Sep-14,Senior,1CS20,N/D,SCS1,HM Passport Office and UK Visas and Immigration Senior Finance Business Partner,"The HM Passport Office and UK Visas and Immigration Senior Finance Business Partner is responsible for supporting these business areas in strategic and tactical decision making, ensuring financial consequences, risks and opportunities are understood and considered at the point at which decisions are taken; providing professional challenge to the business, ensuring financial plans, forecasts and underlying assumptions are robust and are appropriately tested; and working on behalf of the business to commission and oversee the delivery of expert financial support and advice from other areas of finance to time and quality in order to meet business objectives. In addition the unit manages European grant funding and provides effective control of asylum support expenditure.",Home Office,Home Office,HM Passport Office & UK Visas and Immigration Finance Unit,0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,2CS01,1820000,1,0,0,,Finance,Slight change of name since last return,1
Sep-14,Senior,1CS19,N/D,SCS1,Head of General Property,"Home Office General Property (HOPG) provides estates and accommodation services to the Home Office   It is  the strategic adviser to the Home Office Board member for  property matters and sustainable development policy. Its primary objective is to provide best value accommodation services, including budgetary control, planning, project and facilities management.'",Home Office,Home Office,Home Office General Property,0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,2CS01,6320000,1,0,0,,Finance,,1
Sep-14,Senior,1CS17,N/D,SCS1,Border Force Senior Finance Business Partner,"The Border Force Senior Finance Business Partner is responsible for supporting these business areas in strategic and tactical decision making, ensuring financial consequences, risks and opportunities are understood and considered at the point at which decisions are taken; providing professional challenge to the business, ensuring financial plans, forecasts and underlying assumptions are robust and are appropriately tested; and working on behalf of the business to commission and oversee the delivery of expert financial support and advice from other areas of finance to time and quality in order to meet business objectives.",Home Office,Home Office,Border Force Finance Unit,0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,2CS01,680000,1,0,0,,Finance,,1
Sep-14,Senior,1CS16,N/D,SCS1,Head of Adelphi Services,"The Home Office uses an Oracle ERP (Enterprise Resource Planning) system known as Adelphi to support its HR, Finance and Procurement services, which are provided to 27,000 users.  Adelphi Services is responsible for the strategic development, commissioning and management of this system and its associated services, outsourced to the Ministry of Justice, who operate the Shared Service Centre in Newport, and to Fujitsu Services, who manage the Adelphi platform and supporting services.",Home Office,Home Office,Adelphi Services,0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,2CS01,1190000,1,0,0,,Finance,,1
Sep-14,Senior,1CS21,N/D,SCS1,Financial Controller,"The Financial Controller leads two key consolidated finance functions – the Financial Reporting Unit (FRU) and the Management Accounting Unit (MAU) who are responsible for accountancy and taxation advice; production of the department’s interim and final consolidated annual report and accounts; and consolidated management reporting. Between them, these teams are responsible for supporting the Home Office’s Principal Accounting Officer by driving strong financial management and governance, including the provision of assurance to the Executive Management Board, the Supervisory Board, and HM Treasury, that Home Office financial resources are managed effectively.",Home Office,Home Office,Financial Control Unit,0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,2CS01,9680000,1,0,0,,Finance,Change to post title since last return. Post is covered on a temporary basis.,1
Sep-14,Senior,1CS23,N/D,SCS1,"Immigration Enforcement, Enablers and International and Immigration Policy Group Senior Finance Business Partner","The Immigration Enforcement, Enablers and International and Immigration Policy Group Senior Finance Business Partner is responsible for supporting these business areas in strategic and tactical decision making, ensuring financial consequences, risks and opportunities are understood and considered at the point at which decisions are taken; providing professional challenge to the business, ensuring financial plans, forecasts and underlying assumptions are robust and are appropriately tested; and working on behalf of the business to commission and oversee the delivery of expert financial support and advice from other areas of finance to time and quality in order to meet business objectives.",Home Office,Home Office,Immigration Enforcement and Enablers Finance Unit,0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,2CS01,660000,1,0,0,,Finance,Change to post title since last return. Post is covered on a temporary basis.,1
Sep-14,Senior,2CS03,Gareth Hills,SCS2,"Director, Performance & Risk","The performance and risk directorate is responsible for modernising performance reporting and continuous improvement across the Home Office. The directorate will identify opportunities and risks, and present a coherent picture of strengths and vulnerabilities across the whole Home Office. It provides senior ownership for a performance framework and integrates teams operating different performance functions so as to create a single view for the Home Office Executive Management Board",Home Office,Home Office,Performance and Risk,0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,3CS01,0,1,85000,89999,,Statisticians,,1
Sep-14,Senior,1CS11,N/D,SCS1,Head of Continuous Improvement Unit,"The Continuous Improvement Unit's role is to support the development and delivery of ambitious plans for Continuous Improvement, strengthening performance and reducing costs across the breadth of the Department's responsibilities, with a focus on achieving substantial gains through reforming and streamlining business processes.",Home Office,Home Office,Continuous Improvement Unit,0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,2CS03,2360000,1,0,0,,Policy,,1
Sep-14,Senior,1CS10,N/D,SCS1,Chief Internal Auditor,"The Internal Audit Unit provides an independent evaluation of, and contributes to, improvements in governance, risk management and control processes to help the Home Office group achieve its aims and objectives.",Home Office,Home Office,Internal Audit Unit,0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,2CS03,1930000,1,0,0,,Internal Audit,,1
Sep-14,Senior,1CS09,N/D,SCS1,Head of Performance Unit,"The Performance Unit provides support to the Groups that make up the Home Office Border & Immigration System to help them strengthen performance. By producing reports we can accurately assess how we are performing, and are clear about what is impacting upon performance. The Unit also works with operational colleagues to develop analysis-driven solutions to improve performance. The Unit also manages risk and provides performance packs for the Executive Management Board",Home Office,Home Office,Performance Unit,0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,2CS03,4430000,1,0,0,,Statisticians,,1
Sep-14,Senior,1CS12,N/D,SCS1,Head of Assurance and Compliance,"To provide an assurance and compliance service to immigration and border operations, and support them in fulfilling their statutory duty towards children.",Home Office,Home Office,Assurance and Compliance,0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,2CS03,1510000,1,0,0,,Policy,,1
