Back to Index,Senior/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Total Pay (£),Professional/Occupational Group,Notes,Valid
Sep-12,Senior,B44,Barrett John,SCS1,Head of the DFID-Pakistan Flood Response Team,"Leading a team of 17 staff with a budget of £134 million to shape and deliver the UK response to the catastrophic floods in 2010, which were the world's largest ever natural disaster.",Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,B89,"163,552",1,"70,000","74,999",N/A,Policy,,
Sep-12,Senior,B46,Bland Simon,SCS1,"Deputy Director, Head of Global Funds Department and DFID Representative Geneva",Head of DFID Global Funds Department and DFID Representative to UN and International Development Organisations in Geneva.,Department for International Development,DFID,Policy & International,0845 300 4100,enquiry@dfid.gov.uk,A15,"254,430",1,"75,000","79,999",N/A,Policy,,
Sep-12,Senior,B47,Blundell Adrian,SCS1,"Deputy Director, Head of HR Operations","Covering Payroll and Pensions, HR Direct, HR Core Support, HR Systems, Security, Health, Work and Wellbeing, UK Estates, Facilities Management and International Operational Sustainability.",Department for International Development,DFID,Finance & Corporate Performance,0845 300 4100,enquiry@dfid.gov.uk,A12,"2,164,588",1,"65,000","69,999",N/A,Human Resources,,
Sep-12,Senior,B48,Bowden Martin,SCS1,"Deputy Director, Head of Profession, Procurement","Head of Profession, Procurement",Department for International Development,DFID,Finance & Corporate Performance,0845 300 4100,enquiry@dfid.gov.uk,A21,"1,407,751",1,"75,000","79,999",N/A,Policy,,
Sep-12,Senior,B49,Carriere Elizabeth,SCS1,"Deputy Director, Head of DFID Rwanda and Burundi",Senior Managment: Lead the successful delivery of DFID's programmes in Rwanda and Burundi,Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A5,0,1,"65,000","69,999",N/A,Policy,Costs withheld for Security Reasons,
Sep-12,Senior,B50,Cassidy Eamon,SCS1,"Deputy Director, Head of trade and Development. Joint Trade policy Unit",Head of Department,Department for International Development,DFID,Policy & International,0845 300 4100,enquiry@dfid.gov.uk,A14,"599,813",1,"75,000","79,999",N/A,Policy,,
Sep-12,Senior,B52,Cooke Sarah,SCS1,"Deputy Director, Head, Growth & Investment Dept (GID)",Leading DFID's policy work on sustainable & inclusive growth; investment climate reform; food and nutrition security; and poverty & vulnerability including social protection/cash transfers and the post-MDG framework.,Department for International Development,DFID,Policy & International,0845 300 4100,enquiry@dfid.gov.uk,A7,"1,622,030",1,"65,000","69,999",N/A,Policy,,
Sep-12,Senior,B53,Curtis Ian,SCS1,"Deputy Director, Head of Global Partnerships Department",Head of Global Partnerships Department,Department for International Development,DFID,Policy & International,0845 300 4100,enquiry@dfid.gov.uk,B44,"688,310",1,"70,000","74,999",N/A,Policy,,
Sep-12,Senior,B54,Dewdney Richard,SCS1,"Deputy Director, Western Asia and Stabilisation Division",Western Asia and Stabilisation ,Department for International Development,DFID,Policy & International,0845 300 4100,enquiry@dfid.gov.uk,A10,"1,091,194",1,"70,000","74,999",N/A,Policy,,
Sep-12,Senior,B55,Dunn Sarah,SCS1,"Deputy Director, Head of DFID South Africa",Head of Office,Department for International Development,DFID,Policy & International,0845 300 4100,enquiry@dfid.gov.uk,A3,0,1,"70,000","74,999",N/A,Policy,Costs withheld for Security Reasons,
Sep-12,Senior,B56,Elliott Marshall,SCS1,"Deputy Director, Head of DFID Tanzania",Head of DFID Tanzania,Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A16,0,1,"75,000","79,999",N/A,Policy,Costs withheld for Security Reasons,
Sep-12,Senior,B57,Evans Phil ,SCS1,"Deputy Director, Head, DFID Sierra Leone",Lead the successful delivery of DFID's aid programme in Sierra Leone.,Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A6,0,1,"70,000","74,999",N/A,Policy,Costs withheld for Security Reasons,
Sep-12,Senior,B58,Fernie Alistair ,SCS1,"Deputy Director, Head of DFID Kenya and Somalia","Lead the DFID Kenya and Somalia team to deliver results in line with the SRP, DFID Business Plan, Kenya and Somalia Operational Plans, and other ministerial priorities in Kenya and Somalia.",Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A19,0,1,"70,000","74,999",N/A,Policy,Costs withheld for Security Reasons,
Sep-12,Senior,B59,Hallam David,SCS1,"Deputy Director, UNCD","Head, United Nations and Commonwealth Department",Department for International Development,DFID,Policy & International,0845 300 4100,enquiry@dfid.gov.uk,A14,"878,696",1,"70,000","74,999",N/A,Policy,,
Sep-12,Senior,B60,Hallam Paula,SCS1,"Deputy Director, Head of HR Advisory Group and Head of Profession, HR",Promoting capability and efficiency through provision of specialist HR advice on issues of resourcing; diversity; employment policy; learning and development; pay and reward; talent and succession management; and employee relations to managers across DFID. Ensuring employment policies and procedures are effective in meeting organisational needs.,Department for International Development,DFID,Corporate Performance,0845 300 4100,enquiry@dfid.gov.uk,A12,"1,300,771",1,"75,000","79,999",N/A,Human Resources,,
Sep-12,Senior,B61,Hammond Mike,SCS1,"Deputy Director, Head of DFID Zambia",Head of DFID Zambia,Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A6,0,1,"75,000","79,999",N/A,Policy,Costs withheld for Security Reasons,
Sep-12,Senior,B62,Hayes Pauline,SCS1,Head of DFID Afghanistan,Leadership and management of DFID operations in Afghanistan.,Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A10,0,1,"70,000","74,999",N/A,Policy,Costs withheld for Security Reasons,
Sep-12,Senior,B63,Hines Gwen,SCS1,"Deputy Director, Head of DFID Bangladesh","Head, DFID Bangladesh",Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A6,0,1,"65,000","69,999",N/A,Policy,Costs withheld for Security Reasons,
Sep-12,Senior,B65,Ledward Andrea,SCS1,"Deputy Director, Head of DFID Ethiopia",Head of DFID Ethiopia,Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A6,0,1,"60,000","64,999",N/A,Policy,Costs withheld for Security Reasons,
Sep-12,Senior,B67,Mackiggan Keith,SCS1,"Deputy Director, Head of DFID Mozambique",Head of DFID Mozambique,Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A6,0,1,"70,000","74,999",N/A,Policy,Costs withheld for Security Reasons,
Sep-12,Senior,B68,Mallalieu Mark,SCS1,"Deputy Director, Head DFID South Sudan",Head DFID South Sudan,Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A19,0,1,"70,000","74,999",N/A,Policy,Costs withheld for Security Reasons,
Sep-12,Senior,B70,McGillivray Gavin,SCS1,"Deputy Director, Head of Private Sector Department",Head of Private Sector Department,Department for International Development,DFID,Policy & International,0845 300 4100,enquiry@dfid.gov.uk,A15,"1,378,258",1,"75,000","79,999",N/A,Policy,,
Sep-12,Senior,B71,McKendry Ian,SCS1,"Deputy Director, Caribbean and Overseas Territories",To oversee delivery of the Division's strategies in the Caribbean and the Overseas Territories.,Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A13,"1,776,544",1,"70,000","74,999",N/A,Policy,,
Sep-12,Senior,B72,Montgomery Richard,SCS1,"Deputy Director, Head of DFID Nigeria",Working with partners to reduce poverty and improve lives in Nigeria; leading the DFID country team.,Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A6,0,1,"75,000","79,999",N/A,Policy,Costs withheld for Security Reasons,
Sep-12,Senior,B73,O'Neil Dominic,SCS1,"Deputy Director, Head of DFID Nepal
",Head of Office for Nepal,Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A6,0,1,"70,000","74,999",N/A,Policy,Costs withheld for Security Reasons,
Sep-12,Senior,B74,Peace Jackie,SCS1,"Deputy Director, Acting Head, Aid Effectivness and Value for Money Dept
","Lead a team of 30 people working on DFID's value for money, project and programme management policy, results, corporate performance system, aid effectiveness, aid instruments and transparency. 
",Department for International Development,DFID,Finance & Corporate Performance,0845 300 4100,enquiry@dfid.gov.uk,A21,"912,041",1,"60,000","64,999",N/A,Policy,,
Sep-12,Senior,B75,Pepera Sandra,SCS1,"Deputy Director, Head of DFID Sudan",Head DFID Sudan,Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A19,"352,083",1,"70,000","74,999",N/A,Policy,,
Sep-12,Senior,B77,Pycroft Christopher,SCS1,"Deputy Director, DFID DRC",Head of DFID DRC,Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A15,0,1,"70,000","74,999",N/A,Policy,Costs withheld for Security Reasons,
Sep-12,Senior,B78,Rintoul Jane ,SCS1,"Deputy Director, Head of DFID Uganda",Responsibility for delivering DFID's programme in Uganda,Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A19,0,1,"65,000","69,999",N/A,Policy,Costs withheld for Security Reasons,
Sep-12,Senior,B79,Robinson Mark,SCS1,"Deputy Director, Chief Professional Officer, Governance, Conflict and Social Development
","Overall leadership of the governance, social development, conflict and humanitarian cadres with specific responsibilities for deepening professionalism and strengthening evidence.",Department for International Development,DFID,Policy & International,0845 300 4100,enquiry@dfid.gov.uk,A23,"512,907",1,"70,000","74,999",N/A,Policy,,
Sep-12,Senior,B80,Sanyahumbi Sarah,SCS1,"Deputy Director, Head of DFID Malawi
","Head of Office/Country Representative, Malawi",Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A5,0,1,"65,000","69,999",N/A,Policy,Costs withheld for Security Reasons,
Sep-12,Senior,B81,Simmons Melinda,SCS1,"Deputy Director, Europe","Overseeing UK funding to the EU for development, human rights/democracy, and humanitarian aid. Responsible for bilateral aid programme in Kosovo.",Department for International Development,DFID,Policy & International,0845 300 4100,enquiry@dfid.gov.uk,A14,"1,313,999",1,"70,000","74,999",N/A,Policy,,
Sep-12,Senior,B86,Taylor Sally,SCS1,"Deputy Director, Head of DFID Ghana
",Head of DFID Ghana,Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A6,0,1,"75,000","79,999",N/A,Policy,Costs withheld for Security Reasons,
Sep-12,Senior,B87,Teuten Richard,SCS1,"Deputy Director, Head of International Financial Institutions Department
",Head of Department,Department for International Development,DFID,Policy & International,0845 300 4100,enquiry@dfid.gov.uk,A15,"645,123",1,"70,000","74,999",N/A,Policy,,
Sep-12,Senior,B88,Trivedy Roy ,SCS1,"Deputy Director, Head of Civil Society Department
","Responsible for leading and managing DFID's work with civil society including programmes, staffing and other resources.",Department for International Development,DFID,Policy & International,0845 300 4100,enquiry@dfid.gov.uk,A7,"624,858",1,"70,000","74,999",N/A,Policy,,
Sep-12,Senior,B89,Turkington George,SCS1,"Deputy Director, Head of DFID Pakistan
",Responsible for DFID's development programme with the Government of Pakistan,Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A10,0,1,"75,000","79,999",N/A,Policy,Costs withheld for Security Reasons,
Sep-12,Senior,B91,Wheeler Tim,SCS1,"Deputy Director, Deputy Chief Scientific Adviser
",Deputy Chief Scientific Adviser,Department for International Development,DFID,Policy & International,0845 300 4100,enquiry@dfid.gov.uk,A20,"1,601,340",1,0,0,N/A,Policy,,
Sep-12,Senior,B93,Wyatt Mathew,SCS1,"Deputy Director, Head of Climate and Environment Group
",Head of Climate and Environment Group,Department for International Development,DFID,Policy & International,0845 300 4100,enquiry@dfid.gov.uk,A7,"1,980,438",1,"70,000","74,999",N/A,Policy,,
Sep-12,Senior,B94,York Nick,SCS1,Deputy Director and Chief Professional Officer for Evaluation,"Chief Professional Officer for Evaluation. Leadership of DFID's central evaluation function including embedding evaluation and impact evaluation across the Department. Leadership of EVD, professional support, training and guidance to evaluation specialists and operational staff in commissioning decentralised evaluations on methods. Quality assurance of standards for evaluation in DFID. Liaising with Independent Commission for Aid Impact on evaluation on methods and standards.",Department for International Development,DFID,Policy & International,0845 300 4100,enquiry@dfid.gov.uk,A20,"1,642,719",1,"70,000","74,999",N/A,Policy,,
Sep-12,Senior,B95,McCoubrey Andrew,SCS1,"Deputy Director, Head of Africa Regional Department
",Acting Head of Africa Regional Department,Department for International Development,DFID,Country programmes,846 300 4100,enquiry@dfid.gov.uk,A19,"1,820,785",1,"65,000","69,999",N/A,Policy,,
Sep-12,Senior,B97,Ockenden Jonathan,SCS1,"Deputy Director, UK Executive Director at EBRD
",UK Executive Director at EBRD,Department for International Development,DFID,Policy & International,848 300 4100,enquiry@dfid.gov.uk,A15,0,1,"65,000","69,999",N/A,Policy,Costs withheld for Security Reasons,
Sep-12,Senior,B98,Beatie Allison,SCS1,"Deputy Director, Head of Human Development Group",Head of Human Development Group,Department for International Development,DFID,Policy & International,849 300 4100,enquiry@dfid.gov.uk,A16,"2,025,922",1,"65,000","69,999",N/A,Policy,,
Sep-12,Senior,B99,Wechsberg Anna,SCS1,"Deputy Director, Head of Africa Directorate",Head of Africa Directorate,Department for International Development,DFID,Policy & International,850 300 4100,enquiry@dfid.gov.uk,A6,"610,488",1,"65,000","69,999",N/A,Policy,,
Sep-12,Senior,B100,Gerry Annabel,SCS1,"Deputy Director, Head of Governance, Open Societies, and Anti-Corruption Department
","Lead policy work including: governance, 
anti-corruption, public financial management 
and tax, empowerment and accountability, 
public sector and political governance, human 
rights and rule of law; gender, girls and women.",Department for International Development,DFID,Policy & International,851 300 4100,enquiry@dfid.gov.uk,A7,"1,929,020",1,"65,000","69,999",N/A,Policy,,
Sep-12,Senior,B101,Mellor Ben,SCS1,"Deputy Director, Head of DFID Sudan",Head of DFID Sudan,Department for International Development,DFID,Country programmes,852 300 4100,enquiry@dfid.gov.uk,A15,0,1,"65,000","69,999",N/A,Policy,Costs withheld for Security Reasons,
Sep-12,Senior,B102,Johnston David,SCS1,"Deputy Director, Head of Internal Audit and Counter Fraud Unit","Leading the Internal Audit function and the Counter Fraud Unit. Providing advice and support across DFID on issues of risk management, governance and control. Head of Audit Profession for DFID.",Department for International Development,DFID,Finance & Corporate Performance,853 300 4100,enquiry@dfid.gov.uk,A21,"688,403",1,"65,000","69,999",N/A,Internal Audit,,
Sep-12,Senior,B103,Donnelly Emma,SCS1,"Deputy Director, ASCOT",Head of ASCOT,Department for International Development,DFID,Country programmes,854 300 4100,enquiry@dfid.gov.uk,A13,"1,608,581",1,"65,000","69,999",N/A,Policy,,
Sep-12,Senior,B104,Williams Jane,SCS1,"Deputy Director, Head, Stabilisation Unit
","Head, Stabilisation Unit",Department for International Development,DFID,Policy & International,855 300 4100,enquiry@dfid.gov.uk,A16,"809,110",1,"65,000","69,999",N/A,Policy,,
Sep-12,Senior,B105,Mallet Kevin,SCS1,"Deputy Director, Finance and Performance",Financial Controller,Department for International Development,DFID,Finance & Corporate Performance,856 300 4100,enquiry@dfid.gov.uk,A21,"701,459",1,"65,000","69,999",N/A,Finance,,
Sep-12,Senior,B106,Cameron Lindy,SCS1,"Deputy Director, Middle East and North Africa",Head of the Middle East and North Africa Department. ,Department for International Development,DFID,Policy & International,857 300 4100,enquiry@dfid.gov.uk,A22,"2,192,104",1,"65,000","69,999",N/A,Policy,,
Sep-12,Senior,B107,Linning Mathew,SCS1,"Deputy Director, Research and Evidence","Deputy Director, Research and Evidence",Department for International Development,DFID,Policy & International,858 300 4100,enquiry@dfid.gov.uk,A20,"125,380",1,"65,000","69,999",N/A,Policy,,
Sep-12,Senior,B108,Gnanendran Vel,SCS1,"Deputy Director, Top Management Group","Deputy Director, Top Management Group",Department for International Development,DFID,DFID,859 300 4100,enquiry@dfid.gov.uk,A1,"1,004,264",1,"65,000","69,999",N/A,Policy,,
Sep-12,Junior,,,A1 (G6),Administrator,,Department for International Development,DFID,Corporate Performance,,,B47,,3,"59,265","69,585",,Human Resources,,
Sep-12,Junior,,,A2 (G7),Administrator,,Department for International Development,DFID,Corporate Performance,,,B47,,4,"47,459","57,441",,Human Resources,,
Sep-12,Junior,,,A2L (SEO),Administrator,,Department for International Development,DFID,Corporate Performance,,,B47,,5.5,"38,894","44,817",,Human Resources,,
Sep-12,Junior,,,B1 (HEO),Administrator,,Department for International Development,DFID,Corporate Performance,,,B47,,12.2,"29,118","35,225",,Human Resources,,
Sep-12,Junior,,,B2 (EO),Administrator,,Department for International Development,DFID,Corporate Performance,,,B47,,24.1,"22,106","27,850",,Human Resources,,
Sep-12,Junior,,,C1 (AO),Administrator,,Department for International Development,DFID,Corporate Performance,,,B47,,20.5,"19,249","22,981",,Human Resources,,
Sep-12,Junior,,,C2 (AA),Administrator,,Department for International Development,DFID,Corporate Performance,,,B47,,10.5,"15,866","19,839",,Human Resources,,
Sep-12,Junior,,,A1 (G6),Administrator,,Department for International Development,DFID,Policy & International,,,A14,,1,"59,265","69,585",,Policy,,
Sep-12,Junior,,,B2 (EO),Administrator,,Department for International Development,DFID,Policy & International,,,A14,,1,"22,106","27,850",,Policy,,
Sep-12,Junior,,,A1 (G6),Administrator,,Department for International Development,DFID,Policy & International,,,B81,,5,"59,265","69,585",,Policy,,
Sep-12,Junior,,,A2 (G7),Administrator,,Department for International Development,DFID,Policy & International,,,B81,,8,"47,459","57,441",,Policy,,
Sep-12,Junior,,,A2L (SEO),Administrator,,Department for International Development,DFID,Policy & International,,,B81,,4,"38,894","44,817",,Policy,,
Sep-12,Junior,,,B1D (Faststream),Administrator,,Department for International Development,DFID,Policy & International,,,B81,,4,"26,800","36,827",,Policy,,
Sep-12,Junior,,,B1 (HEO),Administrator,,Department for International Development,DFID,Policy & International,,,B81,,5,"29,118","35,225",,Policy,,
Sep-12,Junior,,,B2 (EO),Administrator,,Department for International Development,DFID,Policy & International,,,B81,,2,"22,106","27,850",,Policy,,
Sep-12,Junior,,,C1 (AO),Administrator,,Department for International Development,DFID,Policy & International,,,B81,,1,"19,249","22,981",,Policy,,
Sep-12,Junior,,,A1 (G6),Administrator,,Department for International Development,DFID,Finance & Corporate Performance,,,B41,,4,"59,265","69,585",,Information Technology,,
Sep-12,Junior,,,A2 (G7),Administrator,,Department for International Development,DFID,Finance & Corporate Performance,,,B41,,10.8,"47,459","57,441",,Information Technology,,
Sep-12,Junior,,,A2L (SEO),Administrator,,Department for International Development,DFID,Finance & Corporate Performance,,,B41,,21.3,"38,894","44,817",,Information Technology,,
Sep-12,Junior,,,B1D (Faststream),Administrator,,Department for International Development,DFID,Finance & Corporate Performance,,,B41,,3,"26,800","36,827",,Information Technology,,
Sep-12,Junior,,,B1 (HEO),Administrator,,Department for International Development,DFID,Finance & Corporate Performance,,,B41,,28.7,"29,118","35,225",,Information Technology,,
Sep-12,Junior,,,B2 (EO),Administrator,,Department for International Development,DFID,Finance & Corporate Performance,,,B41,,29.1,"22,106","27,850",,Information Technology,,
Sep-12,Junior,,,C1 (AO),Administrator,,Department for International Development,DFID,Finance & Corporate Performance,,,B41,,1,"19,249","22,981",,Information Technology,,
Sep-12,Junior,,,A1 (G6),Administrator,,Department for International Development,DFID,Policy & International,,,A20,,4.4,"59,265","69,585",,Policy,,
Sep-12,Junior,,,A2 (G7),Administrator,,Department for International Development,DFID,Policy & International,,,A20,,3.4,"47,459","57,441",,Policy,,
Sep-12,Junior,,,A2L (SEO),Administrator,,Department for International Development,DFID,Policy & International,,,A20,,1,"38,894","44,817",,Policy,,
Sep-12,Junior,,,B1D (Faststream),Administrator,,Department for International Development,DFID,Policy & International,,,A20,,1,"26,800","36,827",,Policy,,
Sep-12,Junior,,,B1 (HEO),Administrator,,Department for International Development,DFID,Policy & International,,,A20,,3.5,"29,118","35,225",,Policy,,
Sep-12,Junior,,,B2 (EO),Administrator,,Department for International Development,DFID,Policy & International,,,A20,,4,"22,106","27,850",,Policy,,
Sep-12,Junior,,,C1 (AO),Administrator,,Department for International Development,DFID,Policy & International,,,A20,,4,"19,249","22,981",,Policy,,
Sep-12,Junior,,,A1 (G6),Administrator,,Department for International Development,DFID,Policy & International,,,B59,,2,"59,265","69,585",,Policy,,
Sep-12,Junior,,,A2 (G7),Administrator,,Department for International Development,DFID,Policy & International,,,B59,,8.4,"47,459","57,441",,Policy,,
Sep-12,Junior,,,B1D (Faststream),Administrator,,Department for International Development,DFID,Policy & International,,,B59,,2,"26,800","36,827",,Policy,,
