Back to Index,Senior/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
Sep-14,Senior,DD13,N/D,SCS1,"Deputy Director, Defra HR Senior Business Partnering",Strategic HR Business Partner for Core Defra HRBP team,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Human Resources,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D03,392000,1,N/A,,Human Resources,,1
Sep-14,Senior,DD14,N/D,SCS1,Deputy Director - Strategy,"Deputy Director responsible for HR strategy, transformation and performance, supplier management, MI and strategic workforce planning, HR business planning. HR operating model and portfolio management","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Human Resources,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D03,604000,1,N/A,,Human Resources,,1
Sep-14,Senior,DD17,N/D,SCS1,Defra Group Deputy CIO,"Working with the business, stakeholders and suppliers to plan, lead and deliver an improved ICT delivery approach by realizing the inherent opportunities of a more joined up approach across the Defra Network. Overseeing the operation and maintenance of the ICT services and commercial matters.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Chief Information Officer,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D04,1549000,1,N/A,,Information Technology,,1
Sep-14,Senior,DD20,N/D,SCS1,Deputy Director Animal Welfare,Head of Animal Welfare Team,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D06,782000,1,N/A,,Policy,,1
Sep-14,Senior,DD21,N/D,SCS1,Deputy Director Animal Health and Welfare (Disease Control),Chief Social Researcher and Evidence and Analysis Deputy Director,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Plant & Animal Health,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D07,1176000,1,N/A,,Social Research,,1
Sep-14,Senior,DD22,N/D,SCS1,Head of bTB Programme,Head of bTB Programme,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D06,1107000,1,N/A,,Policy,,1
Sep-14,Senior,DD23,N/D,SCS1,Deputy Director Animal Health,"Policy owner for aquatic animal health and aquaculture, import & export of animals and animal products,Vet Professional services, Zooonoses, Animal ByProducts and TSEs. Business transformation, management & planning.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Plant & Animal Health,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D07,1948000,1,N/A,,Vets,,1
Sep-14,Senior,DD24,N/D,SCS1,Deputy Director Animal Health and Welfare (Disease Control),Supporting AH Director on developing the policy profession in Defra,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Plant & Animal Health,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D07,850000,1,N/A,,Policy,,1
Sep-14,Senior,DD25,N/D,SCS1,Head of Atmosphere and Noise,Head of Atmosphere and Noise,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Resource Atmosphere & Sustainability,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D09,1666000,1,N/A,,Policy,,1
Sep-14,Senior,DD27,N/D,SCS1,Deputy Director Analysis and Evidence,Supporting Resource Atmosphere and Sustainability directorate.,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Resource Atmosphere & Sustainability,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D09,889000,1,N/A,,Policy,,1
Sep-14,Senior,DD30,N/D,SCS1,Head of Waste Policy and Regulation,"Lead responsibilty for waste policy and regulation in relation to recycling, local authorities collection and other waste services; business (including producer responsibility); WEEE; batteries; packaging; quality of waste recylates; biowaste (Anaerobic digestion, composting); and plastic bags.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Resource Atmosphere & Sustainability,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D09,1322000,1,N/A,,Policy,,1
Sep-14,Senior,DD31,N/D,SCS1,"Deputy Director – Waste Infrastructure, Growth and International","DD responsible for Waste Infrastructure Policy and Delivery, Growth, Residual Waste (Energy from Waste policy and Landfill policy) and EU and International Waste","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Resource Atmosphere & Sustainability,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D09,760000,1,N/A,,Policy,,1
Sep-14,Senior,DD32,N/D,SCS1,"Head, Chemicals and Emerging Technologies","International and domestic regimes for the regulation of chemicals, including the implementation of the EU REACH schemes. Regulatory implications of the development of material on a nano scale. Sponsorship of HSE’s work on pesticides. UK government lead on GM policy and regulation.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Food & Environmental Risk,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D10,1092000,1,N/A,,Policy,,1
Sep-14,Senior,DD33,N/D,SCS1,"Deputy Director, Food Security and Food Standards","Responsible for: food security and sustainability, food information, food composition and standards and food chain resilience. Head of Horsemeat Incident Team.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Food & Environmental Risk,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D10,1161000,1,N/A,,Policy,,1
Sep-14,Senior,DD34,N/D,SCS1,"Deputy Director, Food Policy, Competitiveness and Growth","Food Policy, Competitiveness and Growth","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Food & Environmental Risk,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D10,738000,1,N/A,,Policy,,1
Sep-14,Senior,DD35,N/D,SCS1,Head of Sustainable Business,"Team is responsible for Defra's interests in business resource efficiency, sustainable products, food waste and waste prevention. Also lead on Defra's interests in climate change mitigation and adaptation.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Resource Atmosphere & Sustainability,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D09,1009000,1,N/A,,Policy,,1
Sep-14,Senior,DD37,N/D,SCS1,"Deputy Director, Marine Environment Strategy",Responsibilities include UK implementation of Marine Strategy Framework Directive and OSPAR convention; policy on marine licensing and other (non-fishing) uses of the sea; Defra corporate customer for Cefas; UK Marine Science Coordination Committee.,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Marine & Fisheries,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D11,618000,1,N/A,,Policy,,1
Sep-14,Senior,DD38,N/D,SCS1,Deputy Director for CBRN Recovery & Evidence,Deputy Director for CBRN Recovery & Evidence,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Water & Flood Management,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D14,1023000,1,N/A,,Science and Engineering,,1
Sep-14,Senior,DD39,N/D,SCS1,"Deputy Director, Head of Sea Fisheries Conservation","Responsible for Common Fisheries Policy reform implementation, CFP management (TACs/quotas and days at sea), discards policy, fisheries science, international fisheries incl agreements with third countries, fisheries enforcement and compliance and preventing Illegal, Unregulated and Unreported (IUU) fishing.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Marine & Fisheries,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D11,729000,1,N/A,,Policy,,1
Sep-14,Senior,DD40,N/D,SCS1,Deputy Director Marine Planning and Sustainable Fisheries,"Reform of domestic fisheries management; marine planning policy; freshwater and migratory fisheries policy; shellfish and scallops policy; European Fisheries Fund and negotiation of European Maritime and Fisheries Fund as part of CFP reform; Sponsorship of the Marine Management Organisation, the ten Inshore Fisheries and Conservation Authorities, and Seafish.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Marine & Fisheries,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D11,942000,1,N/A,,Policy,,1
Sep-14,Senior,DD41,N/D,SCS1,Deputy Director Marine Biodiversity,"Marine Biodiversity Sub Programme: Marine Biodiversity, Natura 2000 network, Marine Conservation Zones, Whaling - UK Commissioner to the International Whaling Commission, Marine species conservation.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Marine & Fisheries,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D11,640000,1,N/A,,Policy,,1
Sep-14,Senior,DD42,N/D,SCS1,CAP Direct Payments Policy,Coordination of policy issues on EU CAP direct payments for farmers. Agency customer role for RPA.,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Rural Development, Sustainable Communities & Crops",03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D12,363000,0.58,N/A,,Policy,,1
Sep-14,Senior,DD43,N/D,SCS1,Evidence Deputy Director,"Providing leadership for evidence across Sustainable Land Livestock Farming directorate and Rural Development, Sustainable Communities and Crops directorate, with particular focus on sustainable and competitive farming and sustainable land and soils","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Rural Development, Sustainable Communities & Crops",03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D13,1584000,1,N/A,,Statisticians,,1
Sep-14,Senior,DD44,N/D,SCS1,"Deputy Director, CAP Implementation","Deputy Director, CAP Implementation","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Rural Development, Sustainable Communities & Crops",03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D12,437000,1,N/A,,Policy,,1
Sep-14,Senior,DD45,Vacant,SCS1,"Deputy Director, Crops & Horticulture Policy Delivery",Oversight of domestic and EU policy on crops and horticulture.,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Rural Development, Sustainable Communities & Crops",N/A,defra.helpline@defra.gsi.gov.uk,D12,578000,1,N/A,,Policy,,1
Sep-14,Senior,DD46,N/D,SCS1,Deputy Director Rural Development Programme Policy,"Programme Director, Rural Development Programme","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Rural Development, Sustainable Communities & Crops",03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D12,688000,1,N/A,,Policy,,1
Sep-14,Senior,DD47,N/D,SCS1,Rural Development Director - RPA,"Responsible for policy on and delivery of the main socio-economic elements of the Rural Development Programme for England (RDPE) 2007-2014, including 120 staff working in seven RDT Area Teams based in 13 sites across England and the National Strategy Unit.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Rural Development, Sustainable Communities & Crops",03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D12,3631000,1,N/A,,Policy,,1
Sep-14,Senior,DD48,N/D,SCS1,"Head, Rural Communities Policy Unit","Leading Defra's rural policy, as well as England wide policy on housing, planning and transport.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Rural Development, Sustainable Communities & Crops",03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D12,1360000,1,N/A,,Policy,,1
Sep-14,Senior,DD49,N/D,SCS1,"Deputy Director Landscape, Outdoor Recreation and Forestry","Landscape, Outdoor Recreation and Forestry","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Rural Development, Sustainable Communities & Crops",03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D12,1003000,1,N/A,,Policy,,1
Sep-14,Senior,DD50,N/D,SCS1,Head of UK/EU Bioversity,"Implementation of Biodiversity Strategy 2020. Nature Improvement Areas. Domestic and EU policy/legislation on protected species. Habitats Implementation Review. Biodiversity input on planning, SSSIs and local sites. Zoos Licensing policy. Partnership for Action against wildlife crime.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Sustainable Land Management & Livestock Farming,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D13,1382000,1,N/A,,Policy,,1
Sep-14,Senior,DD51,N/D,SCS1,Deputy Director International Biodiversity,Head of International Biodiversity,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","EU, International & CAP Reform",03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D18,635000,1,N/A,,Policy,,1
Sep-14,Senior,DD52,N/D,SCS1,Deputy Director Sponsorship and Public Body Reform,"Sponsorship of Environment Agency, Natural England, JNCC and Natural Capital Committee. Deputy Director for Public Appointments and ALB reform. HQ Commission pilot","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Sustainable Land Management & Livestock Farming,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D13,655000,0.9,N/A,,Policy,,1
Sep-14,Senior,DD53,N/D,SCS1,Evidence Deputy Director,"Evidence DD Food and Environmental Risk, Economist oversight for Marine and Fisheries","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Food & Environmental Risk,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D15,0,0.71,N/A,,Economics,,1
