Back to Index,Senior/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?,
Oct-15,Senior,SC-024,N/D,SCS1,Deputy Director - Strategic Policy & Finance,"'Leadership of the Social Care Strategic Policy and Finance branch, focussing on policy to ensure there is a sustainable financial framework for social care, in the short and long term, to enable local authorities and their partners to deliver high quality services; and providing analytical support for evidence-based policy across the Directorate. This includes the spending review and efficiency, the Care Services Efficiency Delivery Programme, together with policy to support greater local integration between health and social care.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SC-023,678570,0.72,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,FN145,N/D,SCS1,"Deputy Director - Growth, Policy and Customer Relations","Deputy Director for Policy, Customer Relations & Growth",Department of Health,Department of Health,Finance & NHS,020 7210 4850,N/D,FN-PICD-108,0,0.82,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGT2366,N/D,SCS1,Deputy Director - Genomics,Genomics,Department of Health,Department of Health,"Innovation, Growth and Technology",020 7210 4850,N/D,IGT2355,0,1,ND,,Policy,Cost of Reports Added to IGT2355 Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,FN-FP-111,N/D,SCS1,Deputy Director of Financial Policy & Strategy,"Spending Review, budget setting, policy affordability and managing financial risks.",Department of Health,Department of Health,Finance & NHS,020 7210 4850,N/D,FN-FP-030,0,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SC-212,N/D,SCS1,Deputy Director - Local Government and Regional Policy,"'Responsible for NHS and local government integration, enhancing leadership and providing a local government perspective in the Department, strengthening the performance framework and improving the quality and performance of social care.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SC-023,417921,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGT2357,N/D,SCS1,Deputy Director - Community Pharmacy,Community Pharmacy,Department of Health,Department of Health,"Innovation, Growth and Technology",020 7210 4850,N/D,IGT-028,0,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,FN-GFM-099,N/D,SCS1,Deputy Director - Provider Finance,Responsible for Provider Finance,Department of Health,Department of Health,Finance & NHS,020 7210 4850,N/D,FN-GFM-027,323104,0.95,ND,,Finance,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,FN-NHSG-2025,N/D,SCS1,Deputy Director - NHS Efficiency,Responsible for policy on NHS Efficiency,Department of Health,Department of Health,Finance & NHS,020 7210 4850,N/D,FN-NHSG-031,1107324,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SC2250,N/D,SCS1,Head of Dementia Innovation Unit,Leadership of the Dementia Innovation Unit,Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SC-003,0,1,ND,,Policy,Cost of Reports Added to SC-003 Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGT2368,N/D,SCS1,Head of Accelerated Access Review,Head of Accelerated Access Review team,Department of Health,Department of Health,"Innovation, Growth and Technology",020 7210 4850,N/D,IGT2355,483947,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,RDD-041,N/D,SCS1,Deputy Director - Research Finance & Programmes,"Responsible for - commissioning research to inform DH and ALB policy; providing research evidence to underpin decisions about healthcare, public health and social care by professionals, patients and the public; supporting world-class researchers, conducting leading-edge research focused on patients and the public; discharging the responsibilities via the DH Policy Research Programme, and through NIHR research programmes; oversight of policy for commissioning, managing and funding research'",Department of Health,Department of Health,Research & Development Directorate,020 7210 4850,N/D,RDD-009,1036368,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,FN-GFM-2008,N/D,SCS1,Deputy Director - Accounts,'Responsible for: Accounting In year budget management Financial management & reporting Corporate finance services',Department of Health,Department of Health,Finance & NHS,020 7210 4850,N/D,FN-GFM-027,1603837,1,ND,,Finance,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,FN-FP-2082,N/D,SCS1,Deputy Director - Performance Insight,Reporting on NHS performance.,Department of Health,Department of Health,Finance & NHS,020 7210 4850,N/D,FN-FP-030,0,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SC-086,N/D,SCS1,Deputy Director - Social Care Policy & Legislation,'Responsible for Social Care policy and legislation',Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SC-023,663194,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SC-2249,N/D,SCS1,"Deputy Director - Prevention, Integration and Ageing","'Leadership of the Older People and Dementia branch, focussing on improving the delivery of quality outcomes in health and social care services, to enable older people to live healthy, fulfilling and independent lives. This includes providing evidence, highlighting good practice, encouraging prevention and early intervention, together with support for the implementation of the National Dementia Strategy, and responsibility for NHS continuing healthcare, land long-term neurological conditions.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SC-023,0,1,ND,,Policy,Cost of Reports Added to SC-023 Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGT-118,N/D,SCS1,"Deputy Director - Pricing, Prescriptions and Supply","'Responsible for policy on medicines pricing, including the pharmaceutical price regulation scheme, value based pricing, medicines supply and prescription charges.'",Department of Health,Department of Health,"Innovation, Growth and Technology",020 7210 4850,N/D,IGT-028,957400,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGO-049,N/D,SCS1,Head of Workplace Operations,'Responsible for - Providing operational business critical services across Estates; Facilities and Information Services both for DH/ALBs with a focus on continual service improvement',Department of Health,Department of Health,Group Operations,020 7210 4850,N/D,IGO-016,1686235,1,ND,,Information Technology,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,PHD80,N/D,SCS1,"Deputy Director - Emergency Preparedness, Resilience and Response","Deputy Director - Emergency Preparedness, Resilience and Response",Department of Health,Department of Health,Public Health Directorate,020 7210 4850,N/D,PHD-020,486907,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,PHD-073,N/D,SCS1,Deputy Director EPRR Threats,Deputy Director EPRR Treats,Department of Health,Department of Health,Public Health Directorate,020 7210 4850,N/D,PHD-020,407618,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGO2186,N/D,SCS1,Deputy Director - Implementation Unit,"Responsible for - Tracking the implementation of the top strategic priorities, undertake regular problem solving deep dives to identify risk and find solutions; Building capability across implementation techniques and best practice",Department of Health,Department of Health,Group Operations,020 7210 4850,N/D,IGO-005,0,1,ND,,Operational Delivery,Cost of Reports Added to IGO-005 Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGT-101,N/D,SCS1,Deputy Director - Clinical & Cost Effectiveness,"'Responsible for policy relating to prescribing issues, the Cancer Drugs Fund and sponsorship of the National Institute for Health and Clinical Excellence.'",Department of Health,Department of Health,"Innovation, Growth and Technology",020 7210 4850,N/D,IGT-028,708855,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SC-080,N/D,SCS1,Deputy Director - Dementia ( domestic),"'Leadership of the Older People and Dementia branch, focussing on improving the delivery of quality outcomes in health and social care services, to enable older people to live healthy, fulfilling and independent lives. This includes providing evidence, highlighting good practice, encouraging prevention and early intervention, together with support for the implementation of the National Dementia Strategy, and responsibility for NHS continuing healthcare, land long-term neurological conditions.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SC-026,0,1,ND,,Policy,Cost of Reports Added to SC-026 Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGO-056,N/D,SCS1,Principal Private Secretary - Office of the Permanent Secretary,"'Overview of all areas, Secretay of State and No.10 issues, Communications, DH finance & senior personnel, Departmental Capability, Governance'",Department of Health,Department of Health,Group Operations,020 7210 4850,N/D,IGO-012,0,1,ND,,Operational Delivery,Cost of Reports Added to IGO-012 Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGT2360,VACANT,SCS1,"Deputy Director, Sector Policy","Office for Life Sciences, Sector Policy",Department of Health,Department of Health,"Innovation, Growth and Technology",N/A,N/D,IGT2355,0,1,ND,,Policy,Cost of Reports Added to IGT-2355 Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SC-087,N/D,SCS1,Deputy Director - Integration,'Providing leadership and Strategic direction on the integration programnme',Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SC-023,302115,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGO-2170,N/D,SCS1,"Deputy Director Information and Legal, Legacy Management Team","'Responsible for: Leading the teams reponsible for Reviews and Information, Litigation and Transfer Scheme modification'",Department of Health,Department of Health,Group Operations,020 7210 4850,N/D,IGO-015,491312,1,ND,,Programme and Project Management (PPM),Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,FN-NHSG-117,N/D,SCS1,"Deputy Director - Legislation, Constitution & Policy Improvement","'Responsible for legislation and NHS Constitution policy, including the Health and Social Care Bill Secondary legislation '",Department of Health,Department of Health,Finance & NHS,020 7210 4850,N/D,FN-NHSG-031,788279,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SER-1957,N/D,SCS1,Deputy Director - Citizen Voice and Insight,'Ensure that the voice of patients and citizens is heard across the health and care system and insights are acted on.',Department of Health,Department of Health,Strategy and External Relations,020 7210 4850,N/D,SER-1945,572603,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,FN-NHSG-2023,N/D,SCS1,Deputy Director of NHS Policy and Strategy Unit,"The Unit has two teams - the strategy team and the delivery team. The strategy team uses their overview of work across the NHS to identify future challenges within the system, and identifies the work that is needed to meet them. The delivery team ensures that senior officials and ministers have an up-to-date knowledge of performance against key delivery objectives (such as the PM/DPM commitments), and drives the effort to make sure that key commitments are made.",Department of Health,Department of Health,Finance & NHS,020 7210 4850,N/D,FN-NHSG-031,730350,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGT2361,N/D,SCS1,Deputy Director - Policy & Strategy,Information and Digital Services - Policy & Strategy,Department of Health,Department of Health,"Innovation, Growth and Technology",020 7210 4850,N/D,IGT-010,1053867,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGO-1831,N/D,SCS1,Deputy Director of Governance Unit,'Responsible for - Management of the DH Secretariat which provides support to the Departmental Board and its committees. Overseeing the Board’s development and liaison with non-executive directors. Developing risk and assurance methodology for DH and its ALBs. Overseeing DH governance.',Department of Health,Department of Health,Group Operations,020 7210 4850,N/D,IGO-015,413815,1,ND,,Operational Delivery,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SER-283,N/D,SCS1,Deputy Director of Strategy,'Provide support to DH and its Arm's Length Bodies to address the medium to long term strategic challenge. Build strategic and horizon scanning capabilities across DH',Department of Health,Department of Health,Group Operations,020 7210 4850,N/D,IGO2185,295542,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SC-088,N/D,SCS1,Deputy Director - Equalities and Social Inclusion,"'Responsible for Health Inequalities & Local Improvement programme team, Joint Strategic Needs Assessment Development Policy, Health Inequalities Network, Inclusion Health Policy, Local Improvement.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SC-022,1028520,0.94,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SER-2433N,N/D,SCS1,"Deputy Director, Secretary to the Gosport Investigation","Oversee the maximum possible public disclosure of all relevant information relating to unexpected deaths and treatment at the Gosport War Memorial Hospital; consult with families to ensure that the views of those affected are taken into consideration; obtain, examine and analyse documentation from all relevant organisations and individuals; manage the process of public disclosure and produce a report which adds to public understanding and an on-line archive with supporting evidence",Department of Health,Department of Health,Strategy and External Relations,020 7210 4850,N/D,SER-1945,446416,1,ND,,Other,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,FN-FP-098,N/D,SCS1,"Deputy Director of Financial Planning, Monitoring and Analysis","Managing DH relationship with HMT on all public expenditure issues, Efficiency, Public Expenditure Inquiry (PEI), and Spending Review.",Department of Health,Department of Health,Finance & NHS,020 7210 4850,N/D,FN-FP-030,0,1,ND,,Finance,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGT2352,N/D,SCS1,Deputy Director,Lead the drive  to make the UK the destination of choice for life sciences research and investment to improve patient outcomes and contribute to economic growth,Department of Health,Department of Health,"Innovation, Growth and Technology",020 7210 4850,N/D,IGT-2351,0,1,ND,,Operational Delivery,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGO-034,VACANT,SCS1,Principal Private Secretary to the Secretary of State,'The provision of direct advice to Ministers; and management of Ministers' private offices',Department of Health,Department of Health,Group Operations,N/A,N/D,IGO-012,1613812,1,ND,,Operational Delivery,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGO2185,Kristen McLeod,SCS2,"Director - Strategy, Implementation and Planning",Responsible for - Supporting Ministers on a day-to-day basis and on their longer-term strategic thinking and implementation of priorities,Department of Health,Department of Health,Group Operations,020 7210 4850,N/D,IGO-005,461029,1,85000,89999,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,PHD-1876,N/D,SCS1,"Deputy Director Genomics, science and emerging technologies",Science advice & policy on Regenerative and stratified medicine as well as Horizon scanning related to emerging technology.,Department of Health,Department of Health,Public Health Directorate,020 7210 4850,N/D,PHD-068,278733,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,PHD-1878,N/D,SCS1,Deputy Director - Screening and sexual health,Responsible for: screening and sexual health,Department of Health,Department of Health,Public Health Directorate,020 7210 4850,N/D,PHD-068,322293,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,PHD-1913,N/D,SCS1,Deputy Director Health Proterction System and Immunisation,Deputy Director Health Proterction System and Immunisation,Department of Health,Department of Health,Public Health Directorate,020 7210 4850,N/D,PHD-068,434350,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGT2362,N/D,SCS1,Deputy Director - Digital Transformation and Services,Information and Digital Services - Digital Transformation and Services,Department of Health,Department of Health,"Innovation, Growth and Technology",020 7210 4850,N/D,IGT-010,616343,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SER-045,N/D,SCS1,Deputy Director - Professional Standards,'Delivering professional regulation in a way that reinforces quality.',Department of Health,Department of Health,Strategy and External Relations,020 7210 4850,N/D,SER-1945,1310956,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGO-053,N/D,SCS1,"Deputy Director, HR Service Delivery",Responsible for HR Service Delivery,Department of Health,Department of Health,Group Operations,020 7210 4850,N/D,IGO-014,694832,1,ND,,Human Resources,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SER-120,N/D,SCS1,Deputy Director Strategy Group,'Provide support to DH and its Arm's Length Bodies to address the medium to long term strategic challenge. Build strategic and horizon scanning capabilities across DH',Department of Health,Department of Health,Group Operations,020 7210 4850,N/D,IGO2185,0,1,ND,,Policy,Cost of Reports Added to IGO2185 Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,PHD-065,N/D,SCS1,Deputy Director -Health Protection Programmes,"Responsible for: All health protection programmes, such as Ebola,",Department of Health,Department of Health,Public Health Directorate,020 7210 4850,N/D,PHD-020,606835,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,PHD-072,N/D,SCS1,Head of EU and Global Affairs,'Responsible for: European Affairs EEA Medical Costs budget Global Health Strategy / WHO.',Department of Health,Department of Health,Public Health Directorate,020 7210 4850,N/D,PHD-017,1081033,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SC-082,N/D,SCS1,Deputy Director - Quality & Safety,"'Leadership of the Dignity and Safety branch, which focuses on policies with a common theme of promoting the safety of service users and improving their experience of people who receive services, including Safeguarding (including the Vetting and Barring Scheme and Mental Capacity Act); Big Society; Law Commission and Social Care legislation planning. '",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SC-023,533758,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,FN-PICD-107,N/D,SCS1,Deputy Director Procurement,"Procurement Services aims to maximise value by delivering best practice commercial arrangements across the health and care system, comprising three intrinsically linked functional areas; complex procurement, supplier relationaship management and contract management",Department of Health,Department of Health,Finance & NHS,020 7210 4850,N/D,FN-PICD-033,1796428,1,ND,,Procurement,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SC-078,N/D,SCS1,Deputy Director -Learning Disability & Autism,"'Responsible for: Policy on services for disabled adults, including: provision of community equipment, assistive technology cross-government working on independent living/equality Valuing People Now Programme Autism Strategy Programme user-led organisations Briefing and support to ministers on the above.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SC-026,503323,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGO-054,N/D,SCS1,Deputy Director of Assurance and Public Appointments,"'Responsible for - Leading the ALB Sponsorship Support Unit to enable the Department’s sponsor teams to deliver the Government’s health and care priorities effectively, efficiently, and with regard to value for money through the ALBs. Improving and embedding processes to publish an annual DH Corporate Pla, aligned more closely with our ALB partners, and implementing quarterly monitoring; leading the Departmental improvement planning process. Overseeing the process of public appointments of chairs and non-executives to ALBs.'",Department of Health,Department of Health,Group Operations,020 7210 4850,N/D,IGO-015,1124919,1,ND,,Operational Delivery,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SC2253,N/D,SCS1,Deputy Director Work & Health Joint Unit,Work & Health joint unit with DWP,Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SC-003,0,0.9,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,FN-PICD-125,N/D,SCS1,Deputy Director for Property,"Management of surplus NHS property held by the Department of Health, oversight of two major Property Companies, which between them own nearly 4,000 mainly operational NHS properties and the provision of commercial advice and guidance to major hospital redevelopment schemes.",Department of Health,Department of Health,Finance & NHS,020 7210 4850,N/D,FN-PICD-033,1313372,1,ND,,Finance,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGT-100,N/D,SCS1,Deputy Director - Senior Economic Advisor,"'Responsible for providing economic analysis and advice, economic modelling and statistical advice across the Divisions policy interests.'",Department of Health,Department of Health,"Innovation, Growth and Technology",020 7210 4850,N/D,IGT-028,523174,1,ND,,Economics,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
