Back to Index,Senior/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Total Pay (£),Professional/Occupational Group,Notes,Valid?
Sep-13,Senior,11302,John Jenkins,SCS3,HMA Riyadh,Representing British interests in Saudi Arabia,Foreign and Commonwealth Office,Foreign and Commonwealth office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"125,000","129,999",N/A,,,1
Sep-13,Senior,11304,James Watt,SCS2,HMA Cairo,Representing British interests in Egypt,Foreign and Commonwealth Office,Foreign and Commonwealth office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"90,000","94,999",N/A,,,1
Sep-13,Senior,11305,Francis Baker,SCS2,HMA Kuwait,Representing British interests in Kuwait,Foreign and Commonwealth Office,Foreign and Commonwealth office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"90,000","94,999",N/A,,,1
Sep-13,Senior,11306,Vacant,SCS2,HMA Damascus,Representing British interests in Syria,Foreign and Commonwealth Office,Foreign and Commonwealth office,Middle East & North Africa Directorate,N/A,dp-foi.img@fco.gov.uk,11000,0,1,0,0,N/A,,,1
Sep-13,Senior,11307,Vincent Fean,SCS2,"Head of Post, Jerusalem",Representing British interests in Israel,Foreign and Commonwealth Office,Foreign and Commonwealth office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,11308,Matthew Gould,SCS2,HMA Tel Aviv,Representing British interests in Israel,Foreign and Commonwealth Office,Foreign and Commonwealth office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"90,000","94,999",N/A,,,1
Sep-13,Senior,11310,Dominic Jermey,SCS2,HMA United Arab Emirates,Representing British interests in the UAE,Foreign and Commonwealth Office,Foreign and Commonwealth office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"90,000","94,999",N/A,,,1
Sep-13,Senior,11311,Peter Millett,SCS2,HMA Amman,Representing British interests in Jordan,Foreign and Commonwealth Office,Foreign and Commonwealth office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"90,000","94,999",N/A,,,1
Sep-13,Senior,11312,Michael Aron,SCS3,HMA Tripoli,Representing British interests in Libya,Foreign and Commonwealth Office,Foreign and Commonwealth office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"95,000","99,999",N/A,,,1
Sep-13,Senior,11313,Nick Hopton,SCS2,HMA Doha,Representing British interests in Qatar,Foreign and Commonwealth Office,Foreign and Commonwealth office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,11314,Edward Oakden,SCS2,Additional Director Middle East & North Africa,Senior regional policy advice,Foreign and Commonwealth Office,Foreign and Commonwealth office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"105,000","109,999",N/A,,,1
Sep-13,Senior,11315,Jonathan Davies,SCS2,Additional Director Middle East & North Africa,Senior regional policy advice,Foreign and Commonwealth Office,Foreign and Commonwealth office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,11316,Philip Parham,SCS2,Additional Director Middle East & North Africa,Senior regional policy advice,Foreign and Commonwealth Office,Foreign and Commonwealth office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"90,000","94,999",N/A,,,1
Sep-13,Senior,11317,Thomas Fletcher,SCS2,HMA Beirut,Representing British interests in Lebanon,Foreign and Commonwealth Office,Foreign and Commonwealth office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,11401,Timothy Barrow,SCS3,HMA Moscow,Representing British interests in Russia,Foreign and Commonwealth Office,Foreign and Commonwealth office,Eastern Europe and Central Asia Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"125,000","129,999",N/A,,,1
Sep-13,Senior,11402,Denis Keefe,SCS2,DHM Moscow,Representing British interests in Russia,Foreign and Commonwealth Office,Foreign and Commonwealth office,Eastern Europe and Central Asia Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,11403,Simon Smith,SCS2,HMA Kyiv,Representing British interests in Ukraine,Foreign and Commonwealth Office,Foreign and Commonwealth office,Eastern Europe and Central Asia Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"95,000","99,999",N/A,,,1
Sep-13,Senior,12000,Robert Hannigan,SCS3,Director General Defence & Intelligence,Providing senior policy advice at Board level,Foreign and Commonwealth Office,Foreign and Commonwealth office,DG Defence & Intelligence,0207 008 1500,dp-foi.img@fco.gov.uk,10000,0,1,"130,000","134,999",N/A,,,1
Sep-13,Senior,12200,Katherine Smith,SCS2,Director Americas,Senior regional policy advice,Foreign and Commonwealth Office,Foreign and Commonwealth office,Americas Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,12201,Peter Westmacott,SCS4,HMA Washington,Representing British interests in USA,Foreign and Commonwealth Office,Foreign and Commonwealth office,Americas Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12000,0,1,"170,000","174,999",N/A,,,1
Sep-13,Senior,12202,Alex Ellis,SCS3,HMA Brasilia,Representing British interests in Brazil,Foreign and Commonwealth Office,Foreign and Commonwealth office,Americas Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12000,0,1,"105,000","109,999",N/A,,,1
Sep-13,Senior,12203,Partick Davis,SCS2,DHM Washington,Representing British interests in USA,Foreign and Commonwealth Office,Foreign and Commonwealth office,Americas Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,12204,Daniel Lopez,SCS2,British Consul General and Director General Trade and Investment USA,Supporting UK companies and foreign investment,Foreign and Commonwealth Office,Foreign and Commonwealth office,Americas Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12000,0,1,"120,000","124,999",N/A,,,1
Sep-13,Senior,12205,Lindsay Croisdale-Appleby,SCS2,HMA Bogota,Representing British interests in Colombia,Foreign and Commonwealth Office,Foreign and Commonwealth office,Americas Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,12206,David Fitton,SCS2,HMA Kingston,Representing British interests in Jamaica,Foreign and Commonwealth Office,Foreign and Commonwealth office,Americas Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,12207,Duncan Talyor,SCS2,HMA Mexico City,Representing British interests in Mexico,Foreign and Commonwealth Office,Foreign and Commonwealth office,Americas Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12000,0,1,"90,000","94,999",N/A,,,1
Sep-13,Senior,12208,John Freeman,SCS2,HMA Buenos Aires,Representing British interests in Argentina,Foreign and Commonwealth Office,Foreign and Commonwealth office,Americas Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12000,0,1,"90,000","94,999",N/A,,,1
Sep-13,Senior,12209,Catherine Nettleton,SCS2,HMA Caracas,Representing British interests in Venezuela,Foreign and Commonwealth Office,Foreign and Commonwealth office,Americas Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,12210,Howard Drake,SCS2,BHC Ottawa,Representing British interests in Canada,Foreign and Commonwealth Office,Foreign and Commonwealth office,Americas Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12000,0,1,"90,000","94,999",N/A,,,1
Sep-13,Senior,12301,Susan D'Allegeershecque,SCS2,HMA Vienna and UK Permanent Representative to the UN and other International Organisations in Vienna,Representing British interests in Austria,Foreign and Commonwealth Office,Foreign and Commonwealth office,Defence and Strategic Threats Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,12406,Peter Hayes,SCS2,OT - Director,Senior regional policy advice,Foreign and Commonwealth Office,Foreign and Commonwealth office,Overseas Territories Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,12500,Laurence Bristow,SCS2,Director National Security,Senior policy advice on national security,Foreign and Commonwealth Office,Foreign and Commonwealth office,National Security Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,12501,Timothy Dowse,SCS2,Director National Security,Senior policy advice on national security,Foreign and Commonwealth Office,Foreign and Commonwealth office,National Security Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,12600,Sarah Macintosh,SCS2,Director Defence & International Security,Senior policy advice on defence and international security,Foreign and Commonwealth Office,Foreign and Commonwealth office,Defence and International Security Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,12000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,12700,Vacant,SCS2,Director Cyber Poilicy,Senior policy advice on cyber issues,Foreign and Commonwealth Office,Foreign and Commonwealth office,Cyber Policy Directorate,N/A,dp-foi.img@fco.gov.uk,12000,0,1,0,0,N/A,,,1
Sep-13,Senior,13000,Barbara Woodward,SCS3,DG Economic and Consular,Providing senior policy advice at Board level,Foreign and Commonwealth Office,Foreign and Commonwealth office,DG Europe & Globalisation,0207 008 1500,dp-foi.img@fco.gov.uk,10000,0,1,"120,000","124,999",N/A,,,1
Sep-13,Senior,13200,Nicolas Hailey,SCS2,Director Africa,Senior regional policy advice,Foreign and Commonwealth Office,Foreign and Commonwealth office,Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,13201,Deborah Bronnert,SCS2,HMA Harare,Representing British interests in Zimbabwe,Foreign and Commonwealth Office,Foreign and Commonwealth office,Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,13202,Nicola Brewer,SCS3,BHC Pretoria,Representing British interests in South Africa,Foreign and Commonwealth Office,Foreign and Commonwealth office,Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"135,000","139,999",N/A,,,1
Sep-13,Senior,13203,Andrew Pocock,SCS3,BHC Abuja,Representing British interests in Nigeria,Foreign and Commonwealth Office,Foreign and Commonwealth office,Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"105,000","109,999",N/A,,,1
Sep-13,Senior,13204,Peter Tibber,SCS2,HMA Khartoum,Representing British interests in Sudan,Foreign and Commonwealth Office,Foreign and Commonwealth office,Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"90,000","94,999",N/A,,,1
Sep-13,Senior,13205,Gregory Dorey,SCS2,HMA Addis Ababa,Representing British interests in Ethiopia,Foreign and Commonwealth Office,Foreign and Commonwealth office,Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"90,000","94,999",N/A,,,1
Sep-13,Senior,13206,Christian Turner,SCS2,BHC Nairobi,Representing British interests in Kenya,Foreign and Commonwealth Office,Foreign and Commonwealth office,Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,13207,Peter Jones,SCS2,BHC Accra,Representing British interests in Ghana,Foreign and Commonwealth Office,Foreign and Commonwealth office,Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,13208,John Dennis,SCS2,ADS - General,Senior policy advice,Foreign and Commonwealth Office,Foreign and Commonwealth office,Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,13208,Vacant,SCS2,Director Migration,Leading delivery of migration management,Foreign and Commonwealth Office,Foreign and Commonwealth office,Migration Directorate,N/A,dp-foi.img@fco.gov.uk,13000,0,1,0,0,N/A,,,1
Sep-13,Senior,13300,Vijay Rangarajan,SCS2,Director Europe,Senior regional policy advice,Foreign and Commonwealth Office,Foreign and Commonwealth office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,13301,Jon Cunliffe,SCS4,UK Permanent Representative to the EU,Representing British interests at the EU,Foreign and Commonwealth Office,Foreign and Commonwealth office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"170,000","174,999",N/A,,,1
Sep-13,Senior,13302,Shan Morgan,SCS3,Deputy Permanent Representative to the EU,Representing British interests at the EU,Foreign and Commonwealth Office,Foreign and Commonwealth office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"115,000","119,999",N/A,,,1
Sep-13,Senior,13303,Simon Mcdonald,SCS3,HMA Berlin,Representing British interests in Germany,Foreign and Commonwealth Office,Foreign and Commonwealth office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"130,000","134,999",N/A,,,1
Sep-13,Senior,13304,Giles Paxman,SCS3,HMA Madrid,Representing British interests in Spain,Foreign and Commonwealth Office,Foreign and Commonwealth office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"115,000","119,999",N/A,,,1
Sep-13,Senior,13305,David Reddaway,SCS3,HMA Ankara,Representing British interests in Turkey,Foreign and Commonwealth Office,Foreign and Commonwealth office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"115,000","119,999",N/A,,,1
Sep-13,Senior,13306,Peter Ricketts,SCS4,HMA Paris,Representing British interests in France,Foreign and Commonwealth Office,Foreign and Commonwealth office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"170,000","174,999",N/A,,,1
Sep-13,Senior,13307,Geoffrey Adams,SCS2,HMA The Hague,Representing British interests in the Netherlands,Foreign and Commonwealth Office,Foreign and Commonwealth office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"130,000","134,999",N/A,,,1
Sep-13,Senior,13308,Julian Braithwaite,SCS2,Political and Security Committee Ambassador to the EU,Representing British interests at the EU,Foreign and Commonwealth Office,Foreign and Commonwealth office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,13310,Vacant,SCS2,HMA Belgrade,Representing British interests in Serbia,Foreign and Commonwealth Office,Foreign and Commonwealth office,Europe Directorate,N/A,dp-foi.img@fco.gov.uk,13000,0,1,0,0,N/A,,,1
Sep-13,Senior,13312,Karen Pierce,SCS2,Head of Post UKMIS Geneva,Representing British interests at the UN in Geneva,Foreign and Commonwealth Office,Foreign and Commonwealth office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"90,000","94,999",N/A,,,1
Sep-13,Senior,13313,Adrian Johns,SCS2,"Governor and Commander-in-Chief, Gibraltar",Governing the overseas territory,Foreign and Commonwealth Office,Foreign and Commonwealth office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"130,000","134,999",N/A,,,1
Sep-13,Senior,13314,Matthew Kidd,SCS2,BHC Nicosia,Representing British interests in Cyprus,Foreign and Commonwealth Office,Foreign and Commonwealth office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,13315,Dominick Chilcott,SCS2,HMA Dublin,Representing British interests Republic of Ireland,Foreign and Commonwealth Office,Foreign and Commonwealth office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"90,000","94,999",N/A,,,1
Sep-13,Senior,13316,John Kittmer,SCS2,HMA Athens,Representing British interests in Greece,Foreign and Commonwealth Office,Foreign and Commonwealth office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,13317,Paul Johnston,SCS2,HMA Stockholm,Representing British interests in Sweden,Foreign and Commonwealth Office,Foreign and Commonwealth office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"90,000","94,999",N/A,,,1
Sep-13,Senior,13318,Christopher Prentice,SCS2,HMA Rome,Representing British interests in Italy,Foreign and Commonwealth Office,Foreign and Commonwealth office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"115,000","119,999",N/A,,,1
Sep-13,Senior,13319,Robin Barnett,SCS2,HMA Warsaw,Representing British interests in Poland,Foreign and Commonwealth Office,Foreign and Commonwealth office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"90,000","94,999",N/A,,,1
Sep-13,Senior,13320,Andrew Noble,SCS2,DHM Berlin,Representing British Interests in Germany,Foreign and Commonwealth Office,Foreign and Commonwealth office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"90,000","94,999",N/A,,,1
Sep-13,Senior,13322,Robert Turner,SCS2,British Consul General Istanbul,Representing British interests in Turkey,Foreign and Commonwealth Office,Foreign and Commonwealth office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"90,000","94,999",N/A,,,1
Sep-13,Senior,13323,Jill Morris,SCS2,Director EU - General,Senior regional policy advice,Foreign and Commonwealth Office,Foreign and Commonwealth office,Europe Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,13400,Stephen Lille,SCS2,Director Asia Pacific,Senior regional policy advice,Foreign and Commonwealth Office,Foreign and Commonwealth office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,13401,Timothy Hitchens,SCS3,HMA Tokyo,Representing British interests in Japan,Foreign and Commonwealth Office,Foreign and Commonwealth office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"125,000","129,999",N/A,,,1
Sep-13,Senior,13402,James Wood,SCS3,HMA Beijing,Representing British interests in China,Foreign and Commonwealth Office,Foreign and Commonwealth office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"135,000","139,999",N/A,,,1
Sep-13,Senior,13403,Mark Kent,SCS2,HMA Bangkok,Representing British interests in Thailand,Foreign and Commonwealth Office,Foreign and Commonwealth office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,13404,Simon Featherstone,SCS2,BHC Kuala Lumpur,Representing British interests in Malaysia,Foreign and Commonwealth Office,Foreign and Commonwealth office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"90,000","94,999",N/A,,,1
Sep-13,Senior,13405,Julia Longbottom,SCS2,DHM Tokyo,Representing British interests in Japan,Foreign and Commonwealth Office,Foreign and Commonwealth office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,13406,Mark Canning,SCS2,HMA Jakarta,Representing British interests in Indonesia,Foreign and Commonwealth Office,Foreign and Commonwealth office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,13407,Paul Madden,SCS2,BHC Canberra,Representing British interests in Australia,Foreign and Commonwealth Office,Foreign and Commonwealth office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"90,000","94,999",N/A,,,1
Sep-13,Senior,13408,Caroline Wilson,SCS2,British Consul General to Hong Kong and Macao,Representing British interests in the Hong Kong Special Administrative Region,Foreign and Commonwealth Office,Foreign and Commonwealth office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,13409,Andrew Wightman,SCS2,HMA Seoul,Representing British interests in South Korea,Foreign and Commonwealth Office,Foreign and Commonwealth office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"95,000","99,999",N/A,,,1
Sep-13,Senior,13410,Andrew Key,SCS2,DHM Beijing,Representing British interests in China,Foreign and Commonwealth Office,Foreign and Commonwealth office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,13411,Antony Phillipson,SCS2,BHC Singapore,Representing British interests in Singapore,Foreign and Commonwealth Office,Foreign and Commonwealth office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,13412,Christopher Wood,SCS2,Taipei - General,Representing British Interests in Taiwan,Foreign and Commonwealth Office,Foreign and Commonwealth office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,13413,Asif Ahmad,SCS2,HMA Manila,Representing British Interests in Philippines,Foreign and Commonwealth Office,Foreign and Commonwealth office,Asia Pacific Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,13000,0,1,"85,000","89,999",N/A,,,1
