Back to Index,Junior/Senior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?,
Sep-13,Senior,33,N/D,SCS1,Head of Renewables Programme Team,"To run the programme within the Office for Renewable Energy Deployment to deliver the overall programme for the 2020 renewables target and to manage the policy and delivery of related financial incentives, including the renewables obligation and the feed-in-tariffs scheme.",Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,9,259381,1,65000,69999,Policy,,1,
Sep-13,Senior,34,David Mackay,SCS3,Chief Scientific Adviser,"Ensuring that the Department’s policies and operations, and its contributions to wider Government issues, are underpinned by the best science and engineering advice available.",Department of Energy and Climate Change,Department of Energy and Climate Change,Chief Scientific Advisor,0300 060 4000,correspondence@decc.gsi.gov.uk,1,122496,0.8,130000,134999,Science and Engineering,"The salary shown is not actual as Secondee salaries are not disclosed as part of this exercise, but a representation of the salary for the role.",1,
Sep-13,Senior,35,Paul Hollinshead,SCS2,Director of Science and Innovation,"To manage the science and innovation programme that underpins future UK energy security, provides evidence to underpin decision making and contributes to the reduction of the risk of climate change",Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",0300 060 4000,correspondence@decc.gsi.gov.uk,131,129235,1,80000,84999,Science and Engineering,,1,
Sep-13,Senior,36,N/D,SCS1,Head of Science,Science and Analysis,Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",0300 060 4000,correspondence@decc.gsi.gov.uk,35,1089137,1,75000,79999,Science and Engineering,,1,
Sep-13,Senior,37,N/D,SCS1,Head of Engineering,"Management of innovation policy, innovation delivery and central engineers",Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",0300 060 4000,correspondence@decc.gsi.gov.uk,35,1480465,1,85000,89999,Science and Engineering,,1,
Sep-13,Senior,38,Angie Ridgewell,SCS3,"Director General, Finance & Corporate Services",Responsible for corporate and other services that meet DECC’s needs and provide value for money,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,1,1135345,0.6,140000,144999,Policy,,1,
Sep-13,Senior,39,Joanna Shanmugalingam,SCS2,Strategy Director,Responsible for the strategy and communications directorates,Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy,0300 060 4000,correspondence@decc.gsi.gov.uk,1,1891141,0.6,80000,84999,Policy,"Job Share. Includes costs of posts 57, 62, 46, 102",1,
Sep-13,Senior,39,Susannah Storey,SCS2,Strategy Director,Responsible for the strategy and communications directorates,Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy,0300 060 4000,correspondence@decc.gsi.gov.uk,1,1891141,0.6,115000,119999,Policy,"Job Share. Includes costs of posts 57, 62, 46, 102",1,
Sep-13,Senior,40,Vanessa Howlison,SCS2,Finance Director,Responsible for ensuring that DECC manages its resources effectively and gets good value for money for the taxpayer.,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,38,1787516,1,125000,129999,Finance,"Includes costs of posts 48, 64, 136",1,
Sep-13,Senior,41,Scott Milligan,SCS2,Director of Legal Services,To provide Legal Advice and Services for DECC,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,38,3427257,0.8,120000,124999,Law,"Includes costs of posts 137,59,51,53,47,58,56,114",1,
Sep-13,Senior,42,Rod Davis,SCS2,HR Director,"To deliver a people strategy that will enable the Department to meet its challenging people agenda. This includes the development and delivery of a range of strategies such as pay and reward, learning and development, and diversity.",Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,38,1781217,1,115000,119999,Human Resources,"Includes people not in post and costs of posts 50, 94",1,
Sep-13,Senior,43,Steven Fries,SCS2,Chief Economist and Director of Analysis,Lead and Manage the Chief Economist's Directorate and Serve as Head of Analytical Professions,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,38,1434463,1,135000,139999,Economics,"Includes costs of posts 44, 103, 65",1,
Sep-13,Senior,44,N/D,SCS1,Deputy Chief Economist and Head of Strategic Analysis,To provide strategic advice and analysis to support DECC in developing and evaluating policies,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,43,0,1,65000,69999,Economics,Costs includfed in post 43,1,
Sep-13,Senior,45,Scott McPherson,SCS2,Portfolio Director,Enabling DECC to achieve its strategic objectives through effective management of its portfolio of projects and programmes and strengthening the department’s project delivery capability.,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,38,593059,1,80000,84999,Planning,,1,
Sep-13,Senior,46,N/D,SCS1,"Head, Projects Team, Strategy Directorate","Responsible for cross-cutting, project-based strategy work.",Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy,0300 060 4000,correspondence@decc.gsi.gov.uk,39,0,1,60000,64999,Policy,Costs included in post 39,1,
Sep-13,Senior,47,N/D,SCS1,"Deputy Director, Legal: Nuclear and Non-proliferation",To provide legal advice on Nuclear and Non-proliferation issues,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,41,0,1,65000,69999,Law,Costs included in post 41,1,
Sep-13,Senior,48,N/D,SCS1,Head of Financial Accounting,"Responsible for preparing the financial accounts for the department, financial accounting advice, and managing the supply of shared services to the department.",Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,40,0,1,80000,84999,Finance,Costs included in post 40,1,
Sep-13,Senior,49,N/D,SCS1,Principal Private Secretary,Private Office and Parliamentary Support to Ministers and the Permanent Secretary,Department of Energy and Climate Change,Department of Energy and Climate Change,Private Office Group,0300 060 4000,correspondence@decc.gsi.gov.uk,1,946801,1,65000,69999,Policy,,1,
Sep-13,Senior,50,N/D,SCS1,"Head of HR Pay, Policy and Operations","To provide legally compliant and best practice HR policy, pay strategy and advice",Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,42,0,1,85000,89999,Human Resources,Costs included in post 42,1,
Sep-13,Senior,51,N/D,SCS1,"Deputy Director, Legal: Upstream Energy, FiTs and CCS","To provide legal advice on Upstream Energy, FiTs and CCS issues",Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,41,0,1,80000,84999,Law,Costs included in post 41,1,
Sep-13,Senior,52,N/D,SCS1,Chief Information Officer,"Responsible for strategy, policy and provision of services related to IT, Security, Accommodation, Sustainability and Knowledge and Information Management services to the Department",Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,40,1010554,1,100000,104999,Knowledge and Information Management (KIM),,1,
Sep-13,Senior,53,N/D,SCS1,"Deputy Director, Legal: Electricity Market Reform & Ofgem Review",To provide legal advice on Electricity Market Reform & Ofgem Review issues,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,41,0,1,75000,79999,Law,Costs included in post 41,1,
Sep-13,Senior,54,Vacant,SCS1,Head of Portfolio Office,To lead a team with oversight of DECC projects,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,45,0,1,0,0,Policy,This post is vacant,1,
Sep-13,Senior,55,N/D,SCS1,Head of Statistics and Head of Profession for Statistics,Statistics,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,43,1059531,1,60000,64999,Statisticians,,1,
Sep-13,Senior,56,N/D,SCS1,"Deputy Director, Legal: Commercial and Renewables",To provide legal advice on commercial matters and renewables,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,41,0,1,70000,74999,Law,Costs included in post 41,1,
Sep-13,Senior,57,N/D,SCS1,"Head of Futures Team, Strategy Directorate",The team helps ensure that DECC’s actions are consistent with meeting our 2050 target and helps other countries to replicate DECC’s approach.,Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy,0300 060 4000,correspondence@decc.gsi.gov.uk,39,0,0.8,70000,74999,Policy,Costs included in post 39,1,
Sep-13,Senior,58,N/D,SCS1,"Deputy Director, Legal: Climate Change & International",To provide legal advice on Climate Change & International issues,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,41,0,1,70000,74999,Law,Costs included in post 41,1,
Sep-13,Senior,59,N/D,SCS1,"Deputy Director, Legal: Energy Efficiency, Heat and Fuel Poverty","To provide legal advice on Energy Efficiency, Heat and Fuel Poverty issues",Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,41,0,0.75,70000,74999,Law,Job Share. Costs included in post 41,1,
Sep-13,Senior,59,N/D,SCS1,"Deputy Director, Legal: Energy Efficiency, Heat and Fuel Poverty","To provide legal advice on Energy Efficiency, Heat and Fuel Poverty issues",Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,41,0,0.75,70000,74999,Law,Job Share. Costs included in post 41,1,
Sep-13,Senior,60,Eliminated,SCS1,DECC Future,"Responsible for Carbon Budgets, the 2050 Calculator, and ad hoc policy projects",Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy,N/A,correspondence@decc.gsi.gov.uk,39,0,1,0,0,Policy,,1,
Sep-13,Senior,61,N/D,SCS1,Head of Climate Change Economics,Economic analysis undepinning UK climate change mitigation and energy efficiency policy,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000,correspondence@decc.gsi.gov.uk,109,714557,1,60000,64999,Economics,,1,
Sep-13,Senior,62,N/D,SCS1,"Deputy Director, Strategy Projects","Flexible project team providing advice on strategy and policy for a secure, cost effective transition to a low carbon economy, and responsible for carbon budget management and implementation of the Climate Change Act",Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy,0300 060 4000,correspondence@decc.gsi.gov.uk,39,0,1,85000,89999,Policy,Costs included in post 39,1,
Sep-13,Senior,63,Eliminated,SCS1,Head of DECC Delivery Unit,"Improving the likelihood that DECC achieves its objectives through targeted support and challenge to policy and delivery teams. Also coordinate assurance, approvals, performance management, risk reporting and project & programme management across DECC.",Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,N/A,correspondence@decc.gsi.gov.uk,45,0,1,0,0,Policy,,1,
Sep-13,Senior,64,N/D,SCS1,Head of Financial Management and Control,Financial Control,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,40,0,1,75000,79999,Finance,Costs included in post 40,1,
Sep-13,Senior,65,N/D,SCS1,Head of Modelling,Developing analytical models to support design and implementation of DECC policies. Design an implementing quality assurance processes and governance for analytical models.,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,43,0,1,75000,79999,Policy,Costs includfed in post 43,1,
Sep-13,Senior,66,Peter Betts,SCS2,"Director, International Climate Change","Leadership of the Government’s overall strategy for international action on climate change, including leading in the UN negotiations and on DECC’s interest in disbursement of climate finance and in wider influencing.",Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",0300 060 4000,correspondence@decc.gsi.gov.uk,131,54455,1,95000,99999,Policy,,1,
Sep-13,Senior,67,Edmund Hosker,SCS2,"Director, International, EU and Energy Resilience","Responsible for International Energy, EU issues and energy resilience",Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",0300 060 4000,correspondence@decc.gsi.gov.uk,131,75097,1,110000,114999,Policy,,1,
Sep-13,Senior,68,N/D,SCS1,Head of European Policy,To develop European Energy Policy,Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",0300 060 4000,correspondence@decc.gsi.gov.uk,67,969958,1,70000,74999,Policy,,1,
Sep-13,Senior,70,N/D,SCS1,"Deputy Director, International Climate Policy and Finance","Responsible for international climate finance (including the UK’s International Climate Fund, the Capital Markets Climate Initiative, and long-term sources of finance), and Government policy on EU emissions reduction targets, global carbon markets, international forests, and Monitoring, Reporting & Verification (MRV).",Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",0300 060 4000,correspondence@decc.gsi.gov.uk,66,1314364,1,60000,64999,Policy,,1,
Sep-13,Senior,71,Eliminated,SCS1,N/A,"Government’s overall strategy for international action on climate change, including UN negotiations and DECC’s interest in disbursement of climate finance and in wider influencing.",Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",N/A,correspondence@decc.gsi.gov.uk,66,0,1,0,0,Policy,,1,
Sep-13,Senior,72,N/D,SCS1,Deputy Programme Director Smart Metering,Rollout and Consumer Engagement,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000,correspondence@decc.gsi.gov.uk,97,0,1,55000,59999,Policy,Costs included in post 97,1,
Sep-13,Senior,73,Eliminated,SCS1,Head of URENCO Future Options Team,To review and advise on the future options for the UK’s shareholding in URENCO,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,N/A,correspondence@decc.gsi.gov.uk,38,0,1,0,0,Policy,,1,
Sep-13,Senior,74,N/D,SCS1,Head of International Negotiations,UK Lead Climate Negotiator/ Head of International Climate Negotiations Team,Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",0300 060 4000,correspondence@decc.gsi.gov.uk,66,432243,1,55000,59999,Policy,,1,
Sep-13,Senior,76,Stephen Speed,SCS3,"Acting Director General, Consumers & Households","Director General with responsibility to encourage the transition to a low-carbon economy, with help for those who need it most.",Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000,correspondence@decc.gsi.gov.uk,1,565531,1,105000,109999,Policy,"Includes costs of posts 109, 100, 80",1,
Sep-13,Senior,77,Eliminated,SCS2,National Climate Change,Working to reduce greenhouse gas emissions from activities in the UK,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,N/A,correspondence@decc.gsi.gov.uk,76,0,1,0,0,Policy,,1,
Sep-13,Senior,78,Arthur Leathley,SCS2,Communications,"The Communications team leads DECC work on external relationships with media, stakeholders and public. This includes media work with print and broadcast outlets, direct contact with major companies, NGOs and consumer organisations, as well as close links with public through digital channels and in correspondence. The team also organises ministerial visits and plans long-term strategy around key themes. Internally, the team coordinates messaging to all staff through a range of channels, including intranet, large-scale group meetings and face-to-face communication.",Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,38,1642837,1,120000,124999,Communications,"Includes costs of posts 90, 93",1,
Sep-13,Senior,79,N/D,SCS1,"Head of International Climate Change Strategy, Engagement and Analysis",To co-ordinate cross Whitehall strategy on climate change and engagement with other countries (with FCO) and with business and civil society.,Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",0300 060 4000,correspondence@decc.gsi.gov.uk,66,969539,1,60000,64999,Policy,,1,
Sep-13,Senior,80,Jon Booth,SCS2,Director of Household Energy Efficiency,"Programme of legislation for the Green Deal and Senior Responsible Officer for the programme, including the development of policy on accreditation, standards, redress and finance. Procurement of Green Deal oversight and support services and sponsorship for Carbon Trust and Energy Saving Trust.",Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000,correspondence@decc.gsi.gov.uk,76,0,1,80000,84999,Policy,Costs included in post 76,1,
Sep-13,Senior,81,Daron Walker,SCS2,Smart Meters and Fuel Poverty,"Facilitate the transition to low carbon economy through the successful roll out of smart meters to homes and small businesses by 2019, and implementing projects that help more of the lowest income and vulnerable households with the costs of heating their homes.",Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000,correspondence@decc.gsi.gov.uk,76,0,1,80000,84999,Policy,,1,
Sep-13,Senior,82,Eliminated,SCS1,Carbon Budgets,Working to reduce greenhouse gas emissions from activities in the UK,Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy,N/A,correspondence@decc.gsi.gov.uk,39,0,1,0,0,Policy,,1,
Sep-13,Senior,83,N/D,SCS1,Head of Finance and Delivery Team,Team responsibilities include: co-ordinating the implementation of the EU Energy Efficiency Directive and implementing certain aspects; and the financing of non-domestic energy efficiency improvements in both the private and public sectors.,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000,correspondence@decc.gsi.gov.uk,109,685274,1,80000,84999,Policy,,1,
Sep-13,Senior,84,Eliminated,SCS1,Head - Fuel Poverty,Fuel Poverty policy,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,N/A,correspondence@decc.gsi.gov.uk,81,0,1,0,0,Policy,,1,
Sep-13,Senior,85,N/D,SCS1,"Head, Smart Metering Policy and Strategy",Development of strategy and policy on smart metering,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000,correspondence@decc.gsi.gov.uk,81,747680,1,65000,69999,Policy,,1,
Sep-13,Senior,86,N/D,SCS1,"Head, Industrial Energy Efficiency",Industrial Energy Efficiency,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000,correspondence@decc.gsi.gov.uk,100,1470008,1,70000,74999,Policy,,1,
Sep-13,Senior,87,Eliminated,SCS1,Acting Head of Renewable Heat Premium Payment,To develop Renewable Heat Premium Payment policy,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,N/A,correspondence@decc.gsi.gov.uk,100,0,1,0,0,Policy,,1,
Sep-13,Senior,88,N/D,SCS1,Head of Customer Insight,Customer insight and social research,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000,correspondence@decc.gsi.gov.uk,109,447745,1,75000,79999,Policy,,1,
Sep-13,Senior,89,N/D,SCS1,"Head, Renewable Heat Incentive",Responsible for leading the development and implementation of the Renewable Heat Incentive and Renewable Heat Premium Payment,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000,correspondence@decc.gsi.gov.uk,100,1697584,1,60000,64999,Policy,,1,
Sep-13,Senior,90,N/D,SCS1,Head of News,To provide a DECC news and digital media information service to the public,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,78,0,1,65000,69999,Communications,,1,
